# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.270688	0.294894	0.400293	47.450674	0.0	0.41409	0.41409	90.0	0.270688	0.294894	0.400293	47.450674	260236.574207
2.0	1.0	0.0	0.0	0.0	-90.0	0.13449	0.069287	0.151289	27.256808	0.0	-0.014917	0.014917	-90.0	0.13449	0.069287	0.151289	27.256808	260235.145962
3.0	1.0	0.0	0.0	0.0	-90.0	0.340025	-0.0004	0.340026	-0.067418	0.0	0.364034	0.364034	90.0	0.340025	-0.0004	0.340026	-0.067418	260233.6927
4.0	1.0	0.0	0.0	0.0	-90.0	0.322135	0.035091	0.324041	6.21689	0.0	-0.247609	0.247609	-90.0	0.322135	0.035091	0.324041	6.21689	260232.269171
5.0	1.0	0.0	0.0	0.0	-90.0	0.338766	0.060168	0.344068	10.071151	0.0	-0.05734	0.05734	-90.0	0.334101	0.059069	0.339282	10.026362	260230.837167
6.0	1.0	0.0	0.0	0.0	-90.0	0.348575	0.039129	0.350764	6.404797	0.0	0.170394	0.170394	90.0	0.348575	0.039129	0.350764	6.404797	260229.401375
7.0	1.0	0.0	0.0	0.0	-90.0	0.354419	0.035795	0.356222	5.767118	0.0	0.024705	0.024705	90.0	0.354419	0.035795	0.356222	5.767117	260227.926708
8.0	1.0	0.0	0.0	0.0	-90.0	0.356233	0.029539	0.357455	4.740095	0.0	0.065166	0.065166	90.0	0.356233	0.029539	0.357455	4.740095	260226.490119
9.0	1.0	0.0	0.0	0.0	-90.0	0.357	0.024487	0.357839	3.92385	0.0	0.033533	0.033533	90.0	0.357	0.024487	0.357839	3.92385	260225.021322
10.0	1.0	0.0	0.0	0.0	-90.0	0.356975	0.02033	0.357553	3.259508	0.0	0.005826	0.005826	90.0	0.356906	0.020286	0.357482	3.253085	260223.569654
11.0	1.0	0.0	0.0	0.0	-90.0	0.35696	0.016643	0.357348	2.669368	0.0	0.0085	0.0085	90.0	0.35696	0.016643	0.357348	2.669368	260222.122657
12.0	1.0	0.0	0.0	0.0	-90.0	0.356847	0.013765	0.357113	2.209067	0.0	0.008184	0.008184	90.0	0.356847	0.013765	0.357113	2.209067	260220.666652
13.0	1.0	0.0	0.0	0.0	-90.0	0.356582	0.011254	0.35676	1.807656	0.0	0.006514	0.006514	90.0	0.356582	0.011254	0.35676	1.807656	260219.260449
14.0	1.0	0.0	0.0	0.0	-90.0	0.356228	0.009105	0.356344	1.464095	0.0	0.002052	0.002052	90.0	0.356228	0.009105	0.356344	1.464095	260217.807663
15.0	1.0	0.0	0.0	0.0	-90.0	0.355792	0.007231	0.355866	1.164313	0.0	0.001828	0.001828	90.0	0.355792	0.007231	0.355866	1.164313	260216.377695
16.0	1.0	0.0	0.0	0.0	-90.0	0.355377	0.00587	0.355426	0.946259	0.0	0.002501	0.002501	90.0	0.35538	0.00587	0.355428	0.946362	260214.902136
17.0	1.0	0.0	0.0	0.0	-90.0	0.355039	0.004252	0.355064	0.686078	0.0	0.001224	0.001224	90.0	0.355039	0.004252	0.355064	0.686078	260213.4644
18.0	1.0	0.0	0.0	0.0	-90.0	0.354393	0.003095	0.354406	0.500416	0.0	0.002038	0.002038	90.0	0.354393	0.003095	0.354406	0.500417	260211.971098
19.0	1.0	0.0	0.0	0.0	-90.0	0.353925	0.001728	0.353929	0.279693	0.0	0.002296	0.002296	90.0	0.353925	0.001728	0.353929	0.279693	260210.519754
20.0	1.0	0.0	0.0	0.0	-90.0	0.353457	0.000724	0.353457	0.117405	0.0	0.002106	0.002106	90.0	0.353457	0.000724	0.353457	0.117405	260209.074669
21.0	1.0	0.0	0.0	0.0	-90.0	0.352983	-0.000189	0.352983	-0.030726	0.0	0.001939	0.001939	90.0	0.352983	-0.000189	0.352983	-0.030726	260207.650621
22.0	1.0	0.0	0.0	0.0	-90.0	0.352619	-0.000827	0.35262	-0.134444	0.0	0.002199	0.002199	90.0	0.352619	-0.000827	0.35262	-0.134444	260206.232507
