# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	1.056474	0.210509	1.077243	11.268938	0.0	1.120226	1.120226	90.0	1.056474	0.210509	1.077243	11.268938	262462.124612
2.0	1.0	0.0	0.0	0.0	-90.0	0.429437	0.398681	0.585971	42.873043	0.0	-0.527031	0.527031	-90.0	0.429437	0.398681	0.585971	42.873043	262460.680893
3.0	1.0	0.0	0.0	0.0	-90.0	0.504886	0.071532	0.509929	8.064002	0.0	0.166239	0.166239	90.0	0.504886	0.071532	0.509929	8.064003	262459.247986
4.0	1.0	0.0	0.0	0.0	-90.0	0.759014	0.046034	0.760409	3.470696	0.0	-0.712397	0.712397	-90.0	0.759014	0.046034	0.760409	3.470696	262457.786718
5.0	1.0	0.0	0.0	0.0	-90.0	0.744438	0.066127	0.747369	5.076146	0.0	-0.441906	0.441906	-90.0	0.744438	0.066127	0.747369	5.076146	262456.306315
6.0	1.0	0.0	0.0	0.0	-90.0	0.739008	0.053222	0.740922	4.119252	0.0	0.231162	0.231162	90.0	0.739008	0.053222	0.740922	4.119252	262454.861345
7.0	1.0	0.0	0.0	0.0	-90.0	0.732073	0.037027	0.733008	2.895425	0.0	0.145404	0.145404	90.0	0.732073	0.037027	0.733008	2.895425	262453.419325
8.0	1.0	0.0	0.0	0.0	-90.0	0.732463	0.027555	0.732981	2.154455	0.0	0.020405	0.020405	90.0	0.733182	0.027689	0.733705	2.162782	262451.962508
9.0	1.0	0.0	0.0	0.0	-90.0	0.732761	0.019317	0.733015	1.5101	0.0	0.094206	0.094206	90.0	0.732761	0.019317	0.733015	1.5101	262450.519769
10.0	1.0	0.0	0.0	0.0	-90.0	0.731145	0.012998	0.731261	1.018442	0.0	-0.011586	0.011586	-90.0	0.731145	0.012998	0.731261	1.018442	262449.072647
11.0	1.0	0.0	0.0	0.0	-90.0	0.73002	0.007777	0.730062	0.610376	0.0	0.004474	0.004474	90.0	0.73002	0.007777	0.730062	0.610376	262447.640391
12.0	1.0	0.0	0.0	0.0	-90.0	0.728696	0.003184	0.728702	0.250362	0.0	-0.003625	0.003625	-90.0	0.728735	0.003158	0.728742	0.24826	262446.22481
13.0	1.0	0.0	0.0	0.0	-90.0	0.727287	-0.000494	0.727287	-0.038906	0.0	0.006378	0.006378	90.0	0.727287	-0.000494	0.727287	-0.038906	262444.761646
14.0	1.0	0.0	0.0	0.0	-90.0	0.725717	-0.003713	0.725727	-0.293158	0.0	0.004698	0.004698	90.0	0.725717	-0.003713	0.725727	-0.293158	262443.344953
15.0	1.0	0.0	0.0	0.0	-90.0	0.724376	-0.006614	0.724406	-0.523149	0.0	0.004219	0.004219	90.0	0.724376	-0.006614	0.724406	-0.523149	262441.890449
16.0	1.0	0.0	0.0	0.0	-90.0	0.722232	-0.008369	0.72228	-0.6639	0.0	0.003289	0.003289	90.0	0.722232	-0.008369	0.72228	-0.6639	262440.439863
17.0	1.0	0.0	0.0	0.0	-90.0	0.720959	-0.010096	0.721029	-0.802304	0.0	0.003862	0.003862	90.0	0.720959	-0.010096	0.721029	-0.802304	262438.993754
18.0	1.0	0.0	0.0	0.0	-90.0	0.719387	-0.012863	0.719502	-1.024378	0.0	0.002619	0.002619	90.0	0.719387	-0.012863	0.719502	-1.024378	262437.503398
19.0	1.0	0.0	0.0	0.0	-90.0	0.718644	-0.014371	0.718788	-1.145588	0.0	0.003705	0.003705	90.0	0.718683	-0.014254	0.718825	-1.13626	262436.080306
20.0	1.0	0.0	0.0	0.0	-90.0	0.717175	-0.015768	0.717348	-1.259479	0.0	0.003741	0.003741	90.0	0.717175	-0.015768	0.717348	-1.259479	262434.618392
21.0	1.0	0.0	0.0	0.0	-90.0	0.716005	-0.017053	0.716208	-1.364314	0.0	0.003295	0.003295	90.0	0.716005	-0.017053	0.716208	-1.364314	262433.1837
22.0	1.0	0.0	0.0	0.0	-90.0	0.714736	-0.018167	0.714966	-1.456029	0.0	0.002747	0.002747	90.0	0.714736	-0.018167	0.714966	-1.456029	262431.74702
23.0	1.0	0.0	0.0	0.0	-90.0	0.713545	-0.019197	0.713803	-1.541105	0.0	0.001646	0.001646	90.0	0.713545	-0.019197	0.713803	-1.541105	262430.302258
24.0	1.0	0.0	0.0	0.0	-90.0	0.712409	-0.020216	0.712696	-1.625436	0.0	0.004699	0.004699	90.0	0.712409	-0.020216	0.712696	-1.625436	262428.857467
25.0	1.0	0.0	0.0	0.0	-90.0	0.711381	-0.020978	0.71169	-1.689089	0.0	0.005005	0.005005	90.0	0.711381	-0.020978	0.71169	-1.689089	262427.349037
26.0	1.0	0.0	0.0	0.0	-90.0	0.710321	-0.021735	0.710653	-1.752611	0.0	0.000957	0.000957	90.0	0.710328	-0.021725	0.71066	-1.751795	262425.900061
27.0	1.0	0.0	0.0	0.0	-90.0	0.709359	-0.022418	0.709713	-1.8101	0.0	0.00416	0.00416	90.0	0.709359	-0.022418	0.709713	-1.8101	262424.451602
28.0	1.0	0.0	0.0	0.0	-90.0	0.708244	-0.023047	0.708619	-1.863796	0.0	0.00388	0.00388	90.0	0.708244	-0.023047	0.708619	-1.863796	262423.03843
29.0	1.0	0.0	0.0	0.0	-90.0	0.707353	-0.023664	0.707749	-1.916036	0.0	0.003552	0.003552	90.0	0.707353	-0.023664	0.707749	-1.916036	262421.59274
30.0	1.0	0.0	0.0	0.0	-90.0	0.70641	-0.024091	0.706821	-1.953238	0.0	0.003207	0.003207	90.0	0.70641	-0.024091	0.706821	-1.953238	262420.10952
31.0	1.0	0.0	0.0	0.0	-90.0	0.705686	-0.024703	0.706118	-2.004862	0.0	0.003349	0.003349	90.0	0.705686	-0.024703	0.706118	-2.004862	262418.66174
32.0	1.0	0.0	0.0	0.0	-90.0	0.704916	-0.025179	0.705365	-2.045693	0.0	0.003326	0.003326	90.0	0.704903	-0.025192	0.705353	-2.046739	262417.224244
33.0	1.0	0.0	0.0	0.0	-90.0	0.703956	-0.025422	0.704415	-2.068224	0.0	0.003366	0.003366	90.0	0.703956	-0.025422	0.704415	-2.068224	262415.784907
34.0	1.0	0.0	0.0	0.0	-90.0	0.703194	-0.026012	0.703675	-2.118486	0.0	0.003317	0.003317	90.0	0.703194	-0.026012	0.703675	-2.118486	262414.332986
35.0	1.0	0.0	0.0	0.0	-90.0	0.702404	-0.026577	0.702907	-2.166889	0.0	0.003407	0.003407	90.0	0.702404	-0.026577	0.702907	-2.166889	262412.865179
36.0	1.0	0.0	0.0	0.0	-90.0	0.701461	-0.026581	0.701964	-2.170114	0.0	0.003395	0.003395	90.0	0.701461	-0.026581	0.701964	-2.170114	262411.426431
37.0	1.0	0.0	0.0	0.0	-90.0	0.701006	-0.02676	0.701517	-2.186152	0.0	0.00338	0.00338	90.0	0.701006	-0.02676	0.701517	-2.186152	262409.963152
38.0	1.0	0.0	0.0	0.0	-90.0	0.699763	-0.027185	0.700291	-2.224737	0.0	0.003301	0.003301	90.0	0.699763	-0.027185	0.700291	-2.224737	262408.504505
39.0	1.0	0.0	0.0	0.0	-90.0	0.700606	-0.026327	0.701101	-2.15202	0.0	0.003347	0.003347	90.0	0.700606	-0.026327	0.701101	-2.15202	262407.047987
40.0	1.0	0.0	0.0	0.0	-90.0	0.701053	-0.028193	0.701619	-2.302943	0.0	0.003369	0.003369	90.0	0.701053	-0.028193	0.701619	-2.302943	262405.553376
41.0	1.0	0.0	0.0	0.0	-90.0	0.694856	-0.032066	0.695596	-2.642184	0.0	0.003325	0.003325	90.0	0.694856	-0.032066	0.695596	-2.642184	262404.100531
42.0	1.0	0.0	0.0	0.0	-90.0	0.69835	-0.036258	0.699291	-2.972066	0.0	0.003321	0.003321	90.0	0.69835	-0.036258	0.699291	-2.972066	262402.656259
43.0	1.0	0.0	0.0	0.0	-90.0	0.690863	-0.019755	0.691146	-1.637886	0.0	0.003338	0.003338	90.0	0.693169	-0.016327	0.693362	-1.349287	262401.181397
44.0	1.0	0.0	0.0	0.0	-90.0	0.679163	-0.035689	0.680101	-3.008075	0.0	0.003348	0.003348	90.0	0.678452	-0.034971	0.679353	-2.950744	262399.748119
45.0	1.0	0.0	0.0	0.0	-90.0	0.705953	-0.002196	0.705957	-0.17822	0.0	0.00337	0.00337	90.0	0.705953	-0.002196	0.705957	-0.17822	262398.319759
46.0	1.0	0.0	0.0	0.0	-90.0	0.726801	-0.002105	0.726804	-0.165939	0.0	0.003336	0.003336	90.0	0.726801	-0.002105	0.726804	-0.165939	262396.849886
47.0	1.0	0.0	0.0	0.0	-90.0	0.641442	-0.033039	0.642292	-2.94857	0.0	0.003375	0.003375	90.0	0.641442	-0.033039	0.642292	-2.94857	262395.366227
48.0	1.0	0.0	0.0	0.0	-90.0	0.63081	-0.024693	0.631293	-2.241713	0.0	0.003413	0.003413	90.0	0.630682	-0.02282	0.631095	-2.072243	262393.931322
49.0	1.0	0.0	0.0	0.0	-90.0	0.746162	-0.08065	0.750508	-6.168952	0.0	0.003376	0.003376	90.0	0.746162	-0.08065	0.750508	-6.168952	262392.470262
50.0	1.0	0.0	0.0	0.0	-90.0	0.684552	-0.106327	0.69276	-8.828837	0.0	0.003359	0.003359	90.0	0.684552	-0.106327	0.69276	-8.828837	262391.033305
51.0	1.0	0.0	0.0	0.0	-90.0	0.764563	-0.017588	0.764765	-1.317773	0.0	0.003331	0.003331	90.0	0.764352	-0.015368	0.764506	-1.151822	262389.577121
52.0	1.0	0.0	0.0	0.0	-90.0	0.707211	-0.093211	0.713327	-7.50836	0.0	0.003382	0.003382	90.0	0.707211	-0.093211	0.713327	-7.50836	262388.149273
53.0	1.0	0.0	0.0	0.0	-90.0	0.741867	-0.048571	0.743455	-3.745872	0.0	0.003376	0.003376	90.0	0.741867	-0.048571	0.743455	-3.745872	262386.700005
54.0	1.0	0.0	0.0	0.0	-90.0	0.654097	-0.017767	0.654339	-1.555898	0.0	0.003335	0.003335	90.0	0.651685	-0.021949	0.652054	-1.929026	262385.269797
55.0	1.0	0.0	0.0	0.0	-90.0	0.663301	-0.025968	0.663809	-2.241938	0.0	0.003373	0.003373	90.0	0.663301	-0.025968	0.663809	-2.241938	262383.832591
56.0	1.0	0.0	0.0	0.0	-90.0	0.705309	-0.041066	0.706503	-3.332208	0.0	0.003402	0.003402	90.0	0.705309	-0.041066	0.706503	-3.332208	262382.398959
57.0	1.0	0.0	0.0	0.0	-90.0	0.691312	-0.042756	0.692633	-3.539083	0.0	0.003406	0.003406	90.0	0.691312	-0.042756	0.692633	-3.539083	262380.965739
58.0	1.0	0.0	0.0	0.0	-90.0	0.696065	-0.027413	0.696605	-2.255296	0.0	0.003406	0.003406	90.0	0.696065	-0.027413	0.696605	-2.255296	262379.529936
59.0	1.0	0.0	0.0	0.0	-90.0	0.692189	-0.032713	0.692962	-2.705822	0.0	0.003435	0.003435	90.0	0.693491	-0.032079	0.694232	-2.648454	262378.075574
60.0	1.0	0.0	0.0	0.0	-90.0	0.688545	-0.027919	0.689111	-2.321923	0.0	0.003445	0.003445	90.0	0.688545	-0.027919	0.689111	-2.321923	262376.638347
61.0	1.0	0.0	0.0	0.0	-90.0	0.689088	-0.031064	0.689788	-2.581167	0.0	0.00342	0.00342	90.0	0.689088	-0.031064	0.689788	-2.581167	262375.178728
62.0	1.0	0.0	0.0	0.0	-90.0	0.688262	-0.03072	0.688947	-2.55566	0.0	0.003463	0.003463	90.0	0.688471	-0.030373	0.689141	-2.526039	262373.722471
63.0	1.0	0.0	0.0	0.0	-90.0	0.68693	-0.030953	0.687627	-2.580021	0.0	0.003448	0.003448	90.0	0.68693	-0.030953	0.687627	-2.580021	262372.289967
64.0	1.0	0.0	0.0	0.0	-90.0	0.686528	-0.030974	0.687226	-2.583288	0.0	0.003426	0.003426	90.0	0.686528	-0.030974	0.687226	-2.583288	262370.86066
65.0	1.0	0.0	0.0	0.0	-90.0	0.686511	-0.030977	0.68721	-2.58357	0.0	0.003416	0.003416	90.0	0.686505	-0.031097	0.687209	-2.593598	262369.423683
66.0	1.0	0.0	0.0	0.0	-90.0	0.686182	-0.030997	0.686882	-2.586486	0.0	0.003438	0.003438	90.0	0.68621	-0.03107	0.686913	-2.592476	262367.95476
67.0	1.0	0.0	0.0	0.0	-90.0	0.685868	-0.031239	0.686579	-2.60779	0.0	0.003451	0.003451	90.0	0.685868	-0.031239	0.686579	-2.60779	262366.521739
68.0	1.0	0.0	0.0	0.0	-90.0	0.685476	-0.03117	0.686185	-2.603539	0.0	0.00345	0.00345	90.0	0.685476	-0.03117	0.686185	-2.603539	262365.047143
69.0	1.0	0.0	0.0	0.0	-90.0	0.685147	-0.031208	0.685857	-2.608012	0.0	0.003442	0.003442	90.0	0.685147	-0.031208	0.685857	-2.608012	262363.606833
70.0	1.0	0.0	0.0	0.0	-90.0	0.684892	-0.03125	0.685604	-2.61248	0.0	0.003389	0.003389	90.0	0.684892	-0.03125	0.685604	-2.61248	262362.177699
71.0	1.0	0.0	0.0	0.0	-90.0	0.68444	-0.03143	0.685161	-2.629198	0.0	0.003436	0.003436	90.0	0.68444	-0.03143	0.685161	-2.629198	262360.762969
72.0	1.0	0.0	0.0	0.0	-90.0	0.684038	-0.031382	0.684758	-2.626787	0.0	0.003434	0.003434	90.0	0.684038	-0.031382	0.684758	-2.626787	262359.31252
73.0	1.0	0.0	0.0	0.0	-90.0	0.683899	-0.031459	0.684622	-2.633697	0.0	0.003508	0.003508	90.0	0.683899	-0.031459	0.684622	-2.633697	262357.85034
74.0	1.0	0.0	0.0	0.0	-90.0	0.683417	-0.031411	0.684138	-2.631541	0.0	0.003422	0.003422	90.0	0.683417	-0.031411	0.684138	-2.631541	262356.385722
75.0	1.0	0.0	0.0	0.0	-90.0	0.683113	-0.031545	0.683841	-2.643929	0.0	0.00355	0.00355	90.0	0.683113	-0.031545	0.683841	-2.643929	262354.946062
76.0	1.0	0.0	0.0	0.0	-90.0	0.682742	-0.031528	0.683469	-2.643998	0.0	0.003535	0.003535	90.0	0.682742	-0.031528	0.683469	-2.643997	262353.52993
77.0	1.0	0.0	0.0	0.0	-90.0	0.682488	-0.031612	0.68322	-2.652003	0.0	0.003503	0.003503	90.0	0.682488	-0.031612	0.68322	-2.652003	262352.07851
78.0	1.0	0.0	0.0	0.0	-90.0	0.6822	-0.031658	0.682934	-2.656935	0.0	0.003532	0.003532	90.0	0.6822	-0.031658	0.682934	-2.656935	262350.638673
79.0	1.0	0.0	0.0	0.0	-90.0	0.681926	-0.03165	0.68266	-2.657319	0.0	0.003524	0.003524	90.0	0.681926	-0.03165	0.68266	-2.657319	262349.176853
80.0	1.0	0.0	0.0	0.0	-90.0	0.68151	-0.031774	0.68225	-2.669364	0.0	0.003513	0.003513	90.0	0.68151	-0.031774	0.68225	-2.669364	262347.732934
81.0	1.0	0.0	0.0	0.0	-90.0	0.681256	-0.031699	0.681993	-2.664097	0.0	0.003467	0.003467	90.0	0.681256	-0.031699	0.681993	-2.664097	262346.310161
82.0	1.0	0.0	0.0	0.0	-90.0	0.680915	-0.031795	0.681657	-2.673464	0.0	0.003547	0.003547	90.0	0.680915	-0.031795	0.681657	-2.673464	262344.859433
83.0	1.0	0.0	0.0	0.0	-90.0	0.680633	-0.031832	0.681377	-2.677682	0.0	0.00351	0.00351	90.0	0.680631	-0.031835	0.681375	-2.677963	262343.432983
84.0	1.0	0.0	0.0	0.0	-90.0	0.680396	-0.031826	0.68114	-2.678127	0.0	0.003559	0.003559	90.0	0.680396	-0.031826	0.68114	-2.678127	262341.971027
85.0	1.0	0.0	0.0	0.0	-90.0	0.680139	-0.031884	0.680886	-2.684003	0.0	0.003538	0.003538	90.0	0.680139	-0.031884	0.680886	-2.684003	262340.536818
86.0	1.0	0.0	0.0	0.0	-90.0	0.679825	-0.031931	0.680574	-2.689144	0.0	0.003512	0.003512	90.0	0.679825	-0.031931	0.680574	-2.689144	262339.113592
87.0	1.0	0.0	0.0	0.0	-90.0	0.679659	-0.031909	0.680408	-2.687954	0.0	0.003474	0.003474	90.0	0.679664	-0.031908	0.680413	-2.687895	262337.690006
88.0	1.0	0.0	0.0	0.0	-90.0	0.679338	-0.031944	0.680088	-2.692182	0.0	0.003574	0.003574	90.0	0.679338	-0.031944	0.680088	-2.692182	262336.236265
89.0	1.0	0.0	0.0	0.0	-90.0	0.679107	-0.031982	0.679859	-2.696331	0.0	0.00349	0.00349	90.0	0.679112	-0.031977	0.679864	-2.695849	262334.782974
90.0	1.0	0.0	0.0	0.0	-90.0	0.678811	-0.031996	0.679565	-2.698618	0.0	0.003552	0.003552	90.0	0.678805	-0.032	0.679559	-2.699008	262333.324428
91.0	1.0	0.0	0.0	0.0	-90.0	0.678602	-0.032026	0.679357	-2.702009	0.0	0.003565	0.003565	90.0	0.678602	-0.032026	0.679357	-2.702009	262331.913542
92.0	1.0	0.0	0.0	0.0	-90.0	0.678339	-0.032072	0.679097	-2.706957	0.0	0.003574	0.003574	90.0	0.678339	-0.032072	0.679097	-2.706957	262330.460811
93.0	1.0	0.0	0.0	0.0	-90.0	0.678075	-0.032095	0.678834	-2.709974	0.0	0.003549	0.003549	90.0	0.678075	-0.032095	0.678834	-2.709974	262329.012596
94.0	1.0	0.0	0.0	0.0	-90.0	0.677792	-0.032026	0.678548	-2.705229	0.0	0.003474	0.003474	90.0	0.677792	-0.032026	0.678548	-2.705229	262327.591193
95.0	1.0	0.0	0.0	0.0	-90.0	0.677639	-0.032152	0.678402	-2.716458	0.0	0.003597	0.003597	90.0	0.677639	-0.032152	0.678402	-2.716458	262326.164327
96.0	1.0	0.0	0.0	0.0	-90.0	0.677415	-0.03214	0.678177	-2.716364	0.0	0.003648	0.003648	90.0	0.677415	-0.03214	0.678177	-2.716364	262324.675457
97.0	1.0	0.0	0.0	0.0	-90.0	0.676923	-0.032241	0.677691	-2.72689	0.0	0.003444	0.003444	90.0	0.676923	-0.032241	0.677691	-2.72689	262323.249284
98.0	1.0	0.0	0.0	0.0	-90.0	0.676727	-0.032332	0.677499	-2.735367	0.0	0.00369	0.00369	90.0	0.676717	-0.032328	0.677489	-2.735057	262321.845219
99.0	1.0	0.0	0.0	0.0	-90.0	0.676738	-0.032029	0.677496	-2.709699	0.0	0.003398	0.003398	90.0	0.676738	-0.032029	0.677496	-2.709699	262320.379167
100.0	1.0	0.0	0.0	0.0	-90.0	0.67652	-0.032133	0.677282	-2.719387	0.0	0.003566	0.003566	90.0	0.67652	-0.032133	0.677282	-2.719387	262318.965508
101.0	1.0	0.0	0.0	0.0	-90.0	0.675909	-0.032117	0.676672	-2.720432	0.0	0.003224	0.003224	90.0	0.675909	-0.032117	0.676672	-2.720432	262317.491477
