# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.050124	0.119953	0.130005	67.321807	0.0	0.13221	0.13221	90.0	0.050124	0.119953	0.130005	67.321807	259912.379649
2.0	1.0	0.0	0.0	0.0	-90.0	0.139297	-0.047039	0.147025	-18.659124	0.0	0.157844	0.157844	90.0	0.139297	-0.047039	0.147025	-18.659125	259910.934008
3.0	1.0	0.0	0.0	0.0	-90.0	0.19293	-0.003117	0.192955	-0.925501	0.0	0.224171	0.224171	90.0	0.200179	-0.001467	0.200185	-0.419797	259909.502971
4.0	1.0	0.0	0.0	0.0	-90.0	0.186975	0.011635	0.187337	3.560825	0.0	-0.179145	0.179145	-90.0	0.186975	0.011635	0.187337	3.560825	259908.070482
5.0	1.0	0.0	0.0	0.0	-90.0	0.17486	0.015469	0.175543	5.055681	0.0	-0.095588	0.095588	-90.0	0.17486	0.015469	0.175543	5.055681	259906.638268
6.0	1.0	0.0	0.0	0.0	-90.0	0.179622	0.013733	0.180147	4.372027	0.0	0.068698	0.068698	90.0	0.179622	0.013733	0.180147	4.372027	259905.193058
7.0	1.0	0.0	0.0	0.0	-90.0	0.181197	0.010977	0.181529	3.466779	0.0	-0.035083	0.035083	-90.0	0.181197	0.010977	0.181529	3.466779	259903.766664
8.0	1.0	0.0	0.0	0.0	-90.0	0.182038	0.008532	0.182238	2.683598	0.0	0.028519	0.028519	90.0	0.182038	0.008532	0.182238	2.683598	259902.32789
9.0	1.0	0.0	0.0	0.0	-90.0	0.181895	0.006738	0.18202	2.12157	0.0	0.029188	0.029188	90.0	0.181895	0.006738	0.18202	2.12157	259900.87126
10.0	1.0	0.0	0.0	0.0	-90.0	0.18164	0.004929	0.181707	1.554281	0.0	-0.006253	0.006253	-90.0	0.18164	0.004929	0.181707	1.554281	259899.462172
11.0	1.0	0.0	0.0	0.0	-90.0	0.181342	0.003522	0.181377	1.112592	0.0	0.000143	0.000143	90.0	0.181342	0.003522	0.181377	1.112592	259898.011288
12.0	1.0	0.0	0.0	0.0	-90.0	0.18112	0.002379	0.181135	0.75265	0.0	0.004173	0.004173	90.0	0.18112	0.002379	0.181135	0.75265	259896.578881
13.0	1.0	0.0	0.0	0.0	-90.0	0.1808	0.001318	0.180805	0.417779	0.0	0.001425	0.001425	90.0	0.1808	0.001318	0.180805	0.417779	259895.137649
14.0	1.0	0.0	0.0	0.0	-90.0	0.180431	0.000495	0.180432	0.157271	0.0	0.001829	0.001829	90.0	0.180431	0.000495	0.180432	0.157271	259893.696639
15.0	1.0	0.0	0.0	0.0	-90.0	0.1801	-0.000233	0.1801	-0.074151	0.0	0.002366	0.002366	90.0	0.180108	-0.000231	0.180108	-0.073519	259892.251911
16.0	1.0	0.0	0.0	0.0	-90.0	0.179801	-0.000988	0.179804	-0.314745	0.0	0.00215	0.00215	90.0	0.179801	-0.000988	0.179804	-0.314745	259890.826979
17.0	1.0	0.0	0.0	0.0	-90.0	0.179374	-0.001555	0.179381	-0.496787	0.0	0.003215	0.003215	90.0	0.179374	-0.001555	0.179381	-0.496787	259889.344387
18.0	1.0	0.0	0.0	0.0	-90.0	0.179107	-0.001957	0.179118	-0.626054	0.0	0.002428	0.002428	90.0	0.179107	-0.001957	0.179118	-0.626054	259887.891446
19.0	1.0	0.0	0.0	0.0	-90.0	0.178715	-0.002368	0.178731	-0.759009	0.0	0.002562	0.002562	90.0	0.178715	-0.002368	0.178731	-0.759009	259886.447976
20.0	1.0	0.0	0.0	0.0	-90.0	0.1784	-0.002798	0.178422	-0.89855	0.0	0.003553	0.003553	90.0	0.1784	-0.002798	0.178422	-0.89855	259885.026302
21.0	1.0	0.0	0.0	0.0	-90.0	0.178126	-0.003157	0.178154	-1.015227	0.0	0.003128	0.003128	90.0	0.178126	-0.003157	0.178154	-1.015227	259883.5895
22.0	1.0	0.0	0.0	0.0	-90.0	0.177799	-0.0033	0.177829	-1.063411	0.0	0.003491	0.003491	90.0	0.177799	-0.0033	0.177829	-1.06341	259882.169172
23.0	1.0	0.0	0.0	0.0	-90.0	0.177598	-0.00385	0.17764	-1.241792	0.0	0.002761	0.002761	90.0	0.177598	-0.00385	0.17764	-1.241792	259880.725559
24.0	1.0	0.0	0.0	0.0	-90.0	0.177323	-0.003842	0.177365	-1.24125	0.0	0.002818	0.002818	90.0	0.177331	-0.003839	0.177373	-1.240198	259879.296726
25.0	1.0	0.0	0.0	0.0	-90.0	0.177121	-0.004125	0.177169	-1.334157	0.0	0.00286	0.00286	90.0	0.177121	-0.004125	0.177169	-1.334157	259877.846582
26.0	1.0	0.0	0.0	0.0	-90.0	0.176863	-0.004439	0.176919	-1.437882	0.0	0.002977	0.002977	90.0	0.176866	-0.004436	0.176922	-1.436876	259876.405697
27.0	1.0	0.0	0.0	0.0	-90.0	0.176643	-0.004465	0.1767	-1.44784	0.0	0.003128	0.003128	90.0	0.176643	-0.004465	0.1767	-1.44784	259874.930207
28.0	1.0	0.0	0.0	0.0	-90.0	0.176366	-0.0048	0.176431	-1.559117	0.0	0.003048	0.003048	90.0	0.176382	-0.004807	0.176447	-1.561247	259873.475623
29.0	1.0	0.0	0.0	0.0	-90.0	0.176054	-0.004947	0.176123	-1.609637	0.0	0.003032	0.003032	90.0	0.176062	-0.004926	0.176131	-1.602761	259872.024819
30.0	1.0	0.0	0.0	0.0	-90.0	0.175885	-0.005273	0.175964	-1.717225	0.0	0.003062	0.003062	90.0	0.175885	-0.005273	0.175964	-1.717225	259870.584455
31.0	1.0	0.0	0.0	0.0	-90.0	0.17554	-0.005235	0.175618	-1.708052	0.0	0.003045	0.003045	90.0	0.175556	-0.005254	0.175634	-1.714086	259869.142648
32.0	1.0	0.0	0.0	0.0	-90.0	0.175424	-0.005285	0.175503	-1.725648	0.0	0.002937	0.002937	90.0	0.175424	-0.005285	0.175503	-1.725648	259867.714372
33.0	1.0	0.0	0.0	0.0	-90.0	0.175359	-0.005437	0.175443	-1.775731	0.0	0.003374	0.003374	90.0	0.175359	-0.005437	0.175443	-1.775731	259866.259856
34.0	1.0	0.0	0.0	0.0	-90.0	0.1752	-0.005528	0.175287	-1.807136	0.0	0.002853	0.002853	90.0	0.1752	-0.005528	0.175287	-1.807136	259864.810871
35.0	1.0	0.0	0.0	0.0	-90.0	0.17499	-0.005685	0.175083	-1.860695	0.0	0.003076	0.003076	90.0	0.17499	-0.005685	0.175083	-1.860694	259863.392785
36.0	1.0	0.0	0.0	0.0	-90.0	0.174616	-0.005544	0.174704	-1.818479	0.0	0.003094	0.003094	90.0	0.174616	-0.005544	0.174704	-1.818479	259861.953715
37.0	1.0	0.0	0.0	0.0	-90.0	0.1745	-0.006193	0.174609	-2.032579	0.0	0.003102	0.003102	90.0	0.1745	-0.006193	0.174609	-2.032579	259860.52205
38.0	1.0	0.0	0.0	0.0	-90.0	0.17508	-0.004868	0.175147	-1.59256	0.0	0.003046	0.003046	90.0	0.17508	-0.004868	0.175147	-1.59256	259859.088699
39.0	1.0	0.0	0.0	0.0	-90.0	0.173421	-0.004911	0.173491	-1.621964	0.0	0.003047	0.003047	90.0	0.173421	-0.004911	0.173491	-1.621964	259857.670816
40.0	1.0	0.0	0.0	0.0	-90.0	0.174788	-0.008711	0.175005	-2.852973	0.0	0.003077	0.003077	90.0	0.174788	-0.008711	0.175005	-2.852973	259856.22626
41.0	1.0	0.0	0.0	0.0	-90.0	0.176974	-0.010399	0.177279	-3.362845	0.0	0.003046	0.003046	90.0	0.176974	-0.010399	0.177279	-3.362845	259854.819243
42.0	1.0	0.0	0.0	0.0	-90.0	0.178961	-0.004768	0.179025	-1.526111	0.0	0.002977	0.002977	90.0	0.178961	-0.004768	0.179025	-1.52611	259853.366642
43.0	1.0	0.0	0.0	0.0	-90.0	0.183943	-0.012779	0.184387	-3.974126	0.0	0.003118	0.003118	90.0	0.183943	-0.012779	0.184387	-3.974126	259851.945692
44.0	1.0	0.0	0.0	0.0	-90.0	0.182291	0.009407	0.182533	2.954028	0.0	0.00297	0.00297	90.0	0.182291	0.009407	0.182533	2.954029	259850.511773
45.0	1.0	0.0	0.0	0.0	-90.0	0.193448	-0.027021	0.195326	-7.951768	0.0	0.002372	0.002372	90.0	0.193448	-0.027021	0.195326	-7.951768	259849.071452
46.0	1.0	0.0	0.0	0.0	-90.0	0.214022	-0.006464	0.214119	-1.729871	0.0	0.003161	0.003161	90.0	0.215053	-0.011256	0.215348	-2.996195	259847.663167
47.0	1.0	0.0	0.0	0.0	-90.0	0.119933	0.004319	0.120011	2.062546	0.0	0.002992	0.002992	90.0	0.119933	0.004319	0.120011	2.062546	259846.193445
48.0	1.0	0.0	0.0	0.0	-90.0	0.109867	0.014489	0.110818	7.512576	0.0	0.003257	0.003257	90.0	0.109867	0.014489	0.110818	7.512576	259844.755369
49.0	1.0	0.0	0.0	0.0	-90.0	0.225607	-0.061326	0.233793	-15.207202	0.0	0.002707	0.002707	90.0	0.223543	-0.063488	0.232384	-15.854871	259843.314963
