# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	-0.359799	-0.886139	0.956398	-112.098605	0.0	1.002277	1.002277	90.0	-0.359799	-0.886139	0.956398	-112.098605	365333.979145
2.0	1.0	0.0	0.0	0.0	-90.0	0.1098	1.315494	1.320068	85.228755	0.0	1.371028	1.371028	90.0	0.029344	1.244262	1.244608	88.649033	365332.559787
3.0	1.0	0.0	0.0	0.0	-90.0	-0.123967	0.368309	0.388612	108.602418	0.0	0.745929	0.745929	90.0	-0.123967	0.368309	0.388612	108.602418	365331.110109
4.0	1.0	0.0	0.0	0.0	-90.0	1.993964	-0.026755	1.994144	-0.768757	0.0	2.886041	2.886041	90.0	2.034579	0.104049	2.037237	2.927573	365329.656986
5.0	1.0	0.0	0.0	0.0	-90.0	1.705545	0.236027	1.721799	7.879009	0.0	2.601677	2.601677	90.0	1.705545	0.236027	1.721799	7.879009	365328.2078
6.0	1.0	0.0	0.0	0.0	-90.0	0.990262	-0.419183	1.07533	-22.94317	0.0	1.970565	1.970565	90.0	0.990262	-0.419183	1.07533	-22.94317	365326.738626
7.0	1.0	0.0	0.0	0.0	-90.0	0.855743	-0.327583	0.9163	-20.947127	0.0	1.837399	1.837399	90.0	0.855743	-0.327583	0.9163	-20.947127	365325.251949
8.0	1.0	0.0	0.0	0.0	-90.0	0.939772	0.151664	0.951931	9.167566	0.0	1.892935	1.892935	90.0	0.939772	0.151664	0.951931	9.167566	365323.790973
9.0	1.0	0.0	0.0	0.0	-90.0	1.048822	-0.102726	1.05384	-5.593958	0.0	2.022146	2.022146	90.0	1.048822	-0.102726	1.05384	-5.593958	365322.349887
10.0	1.0	0.0	0.0	0.0	-90.0	0.999476	-0.04828	1.000642	-2.765548	0.0	1.97093	1.97093	90.0	0.999476	-0.04828	1.000642	-2.765548	365320.905449
11.0	1.0	0.0	0.0	0.0	-90.0	0.918351	-0.084579	0.922237	-5.262001	0.0	1.897422	1.897422	90.0	0.918351	-0.084579	0.922237	-5.262001	365319.484345
12.0	1.0	0.0	0.0	0.0	-90.0	0.921294	-0.093774	0.926054	-5.811825	0.0	1.903618	1.903618	90.0	0.921294	-0.093774	0.926054	-5.811825	365318.042848
13.0	1.0	0.0	0.0	0.0	-90.0	0.931455	-0.097608	0.936556	-5.982246	0.0	1.928482	1.928482	90.0	0.942136	-0.114247	0.949038	-6.914127	365316.616424
14.0	1.0	0.0	0.0	0.0	-90.0	0.932635	-0.09962	0.93794	-6.096945	0.0	1.921529	1.921529	90.0	0.932635	-0.09962	0.93794	-6.096945	365315.181366
15.0	1.0	0.0	0.0	0.0	-90.0	0.935582	-0.100183	0.940931	-6.111979	0.0	1.923825	1.923825	90.0	0.935582	-0.100183	0.940931	-6.111979	365313.73598
16.0	1.0	0.0	0.0	0.0	-90.0	0.929137	-0.105802	0.935141	-6.496366	0.0	1.928543	1.928543	90.0	0.929137	-0.105802	0.935141	-6.496366	365312.292726
17.0	1.0	0.0	0.0	0.0	-90.0	0.925842	-0.10762	0.932076	-6.630314	0.0	1.929528	1.929528	90.0	0.925851	-0.10762	0.932085	-6.630261	365310.859132
18.0	1.0	0.0	0.0	0.0	-90.0	0.922856	-0.114648	0.92995	-7.081652	0.0	1.929197	1.929197	90.0	0.922856	-0.114648	0.92995	-7.081652	365309.439735
19.0	1.0	0.0	0.0	0.0	-90.0	0.925427	-0.118243	0.93295	-7.281306	0.0	1.928806	1.928806	90.0	0.925427	-0.118243	0.93295	-7.281306	365307.975849
20.0	1.0	0.0	0.0	0.0	-90.0	0.921407	-0.121971	0.929445	-7.540692	0.0	1.929238	1.929238	90.0	0.921257	-0.122535	0.929371	-7.576379	365306.552592
21.0	1.0	0.0	0.0	0.0	-90.0	0.920835	-0.124669	0.929236	-7.7102	0.0	1.930992	1.930992	90.0	0.920835	-0.124669	0.929236	-7.7102	365305.105463
22.0	1.0	0.0	0.0	0.0	-90.0	0.915185	-0.131491	0.924583	-8.176146	0.0	1.933783	1.933783	90.0	0.915185	-0.131491	0.924583	-8.176146	365303.669093
23.0	1.0	0.0	0.0	0.0	-90.0	0.917815	-0.133797	0.927516	-8.294055	0.0	1.929212	1.929212	90.0	0.917815	-0.133797	0.927516	-8.294055	365302.203056
24.0	1.0	0.0	0.0	0.0	-90.0	0.909917	-0.135584	0.919963	-8.475085	0.0	1.925327	1.925327	90.0	0.909917	-0.135584	0.919963	-8.475085	365300.755811
25.0	1.0	0.0	0.0	0.0	-90.0	0.911104	-0.140178	0.921825	-8.74667	0.0	1.946806	1.946806	90.0	0.911104	-0.140178	0.921825	-8.74667	365299.275091
26.0	1.0	0.0	0.0	0.0	-90.0	0.909027	-0.143329	0.920257	-8.960261	0.0	1.924008	1.924008	90.0	0.909027	-0.143329	0.920257	-8.960261	365297.843578
27.0	1.0	0.0	0.0	0.0	-90.0	0.907896	-0.146096	0.919575	-9.141508	0.0	1.940506	1.940506	90.0	0.907896	-0.146096	0.919575	-9.141508	365296.39202
28.0	1.0	0.0	0.0	0.0	-90.0	0.905066	-0.148272	0.917131	-9.303793	0.0	1.936828	1.936828	90.0	0.905066	-0.148272	0.917131	-9.303793	365294.970249
29.0	1.0	0.0	0.0	0.0	-90.0	0.90234	-0.151709	0.915004	-9.543811	0.0	1.93581	1.93581	90.0	0.90234	-0.151709	0.915004	-9.543811	365293.529131
30.0	1.0	0.0	0.0	0.0	-90.0	0.90066	-0.15419	0.913763	-9.714665	0.0	1.935977	1.935977	90.0	0.90066	-0.15419	0.913763	-9.714665	365292.0712
31.0	1.0	0.0	0.0	0.0	-90.0	0.900435	-0.155726	0.913802	-9.811971	0.0	1.937242	1.937242	90.0	0.900435	-0.155726	0.913802	-9.811971	365290.637441
32.0	1.0	0.0	0.0	0.0	-90.0	0.898285	-0.158249	0.912117	-9.991178	0.0	1.937049	1.937049	90.0	0.898285	-0.158249	0.912117	-9.991178	365289.196359
