# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.256843	0.218971	0.337516	40.449096	0.0	0.328504	0.328504	90.0	0.256843	0.218971	0.337516	40.449096	366591.335407
2.0	1.0	0.0	0.0	0.0	-90.0	0.226535	0.227161	0.320812	45.07898	0.0	-0.156013	0.156013	-90.0	0.226535	0.227161	0.320812	45.07898	366589.900122
3.0	1.0	0.0	0.0	0.0	-90.0	0.483163	-0.033375	0.484314	-3.95152	0.0	0.426536	0.426536	90.0	0.483163	-0.033375	0.484314	-3.95152	366588.453311
4.0	1.0	0.0	0.0	0.0	-90.0	0.95186	0.118116	0.959161	7.073664	0.0	-1.046796	1.046796	-90.0	0.95186	0.118116	0.959161	7.073664	366587.003929
5.0	1.0	0.0	0.0	0.0	-90.0	0.875185	-0.026029	0.875572	-1.703524	0.0	-0.936108	0.936108	-90.0	0.879857	-0.011668	0.879934	-0.759741	366585.578244
6.0	1.0	0.0	0.0	0.0	-90.0	0.58791	-0.049958	0.590028	-4.85708	0.0	-0.149189	0.149189	-90.0	0.58791	-0.049958	0.590028	-4.85708	366584.11608
7.0	1.0	0.0	0.0	0.0	-90.0	0.633977	-0.039132	0.635184	-3.532069	0.0	-0.292977	0.292977	-90.0	0.633977	-0.039132	0.635184	-3.532069	366582.66897
8.0	1.0	0.0	0.0	0.0	-90.0	0.703442	-0.125093	0.714478	-10.083505	0.0	-0.539437	0.539437	-90.0	0.703442	-0.125093	0.714478	-10.083505	366581.204412
9.0	1.0	0.0	0.0	0.0	-90.0	0.651686	-0.087369	0.657516	-7.635865	0.0	-0.392385	0.392385	-90.0	0.651686	-0.087369	0.657516	-7.635865	366579.764232
10.0	1.0	0.0	0.0	0.0	-90.0	0.65368	-0.095268	0.660585	-8.292014	0.0	-0.418506	0.418506	-90.0	0.65368	-0.095268	0.660585	-8.292014	366578.325885
11.0	1.0	0.0	0.0	0.0	-90.0	0.65843	-0.092454	0.664889	-7.992951	0.0	-0.447193	0.447193	-90.0	0.65843	-0.092454	0.664889	-7.992951	366576.889166
12.0	1.0	0.0	0.0	0.0	-90.0	0.65416	-0.104885	0.662515	-9.109013	0.0	-0.456559	0.456559	-90.0	0.65416	-0.104885	0.662515	-9.109013	366575.399673
13.0	1.0	0.0	0.0	0.0	-90.0	0.646963	-0.098941	0.654485	-8.695003	0.0	-0.449729	0.449729	-90.0	0.646963	-0.098941	0.654485	-8.695003	366573.963102
14.0	1.0	0.0	0.0	0.0	-90.0	0.640692	-0.10191	0.648746	-9.037881	0.0	-0.446266	0.446266	-90.0	0.640358	-0.102093	0.648445	-9.05846	366572.489342
15.0	1.0	0.0	0.0	0.0	-90.0	0.634276	-0.103393	0.642648	-9.258308	0.0	-0.444752	0.444752	-90.0	0.634276	-0.103393	0.642648	-9.258308	366571.046861
16.0	1.0	0.0	0.0	0.0	-90.0	0.631395	-0.104671	0.640012	-9.412775	0.0	-0.441551	0.441551	-90.0	0.631395	-0.104671	0.640012	-9.412775	366569.611066
17.0	1.0	0.0	0.0	0.0	-90.0	0.626474	-0.106596	0.635478	-9.656543	0.0	-0.440845	0.440845	-90.0	0.626474	-0.106596	0.635478	-9.656543	366568.168199
18.0	1.0	0.0	0.0	0.0	-90.0	0.621292	-0.106434	0.630343	-9.720979	0.0	-0.440379	0.440379	-90.0	0.621292	-0.106434	0.630343	-9.720979	366566.732356
19.0	1.0	0.0	0.0	0.0	-90.0	0.61574	-0.107172	0.624998	-9.873651	0.0	-0.439642	0.439642	-90.0	0.615699	-0.107379	0.624992	-9.892988	366565.327698
20.0	1.0	0.0	0.0	0.0	-90.0	0.612116	-0.107449	0.621475	-9.95608	0.0	-0.439299	0.439299	-90.0	0.612116	-0.107449	0.621475	-9.95608	366563.87131
21.0	1.0	0.0	0.0	0.0	-90.0	0.608378	-0.107921	0.617876	-10.059173	0.0	-0.438701	0.438701	-90.0	0.608378	-0.107921	0.617876	-10.059173	366562.436174
22.0	1.0	0.0	0.0	0.0	-90.0	0.604607	-0.107901	0.61416	-10.118704	0.0	-0.43798	0.43798	-90.0	0.60454	-0.107934	0.6141	-10.122877	366560.994634
23.0	1.0	0.0	0.0	0.0	-90.0	0.601007	-0.107878	0.610612	-10.175948	0.0	-0.438836	0.438836	-90.0	0.601007	-0.107878	0.610612	-10.175948	366559.565225
24.0	1.0	0.0	0.0	0.0	-90.0	0.597609	-0.107306	0.607167	-10.17951	0.0	-0.438947	0.438947	-90.0	0.597609	-0.107306	0.607167	-10.17951	366558.117753
25.0	1.0	0.0	0.0	0.0	-90.0	0.594514	-0.107593	0.604171	-10.258118	0.0	-0.431196	0.431196	-90.0	0.594514	-0.107593	0.604171	-10.258118	366556.68246
26.0	1.0	0.0	0.0	0.0	-90.0	0.591161	-0.107569	0.600868	-10.31281	0.0	-0.437261	0.437261	-90.0	0.591161	-0.107621	0.600877	-10.31769	366555.248442
27.0	1.0	0.0	0.0	0.0	-90.0	0.588608	-0.107049	0.598263	-10.307631	0.0	-0.432042	0.432042	-90.0	0.588608	-0.107049	0.598263	-10.307631	366553.81412
28.0	1.0	0.0	0.0	0.0	-90.0	0.585639	-0.106695	0.595279	-10.325232	0.0	-0.432044	0.432044	-90.0	0.585639	-0.106695	0.595279	-10.325232	366552.366496
29.0	1.0	0.0	0.0	0.0	-90.0	0.583032	-0.106413	0.592664	-10.343608	0.0	-0.431793	0.431793	-90.0	0.583032	-0.106413	0.592664	-10.343608	366550.923871
30.0	1.0	0.0	0.0	0.0	-90.0	0.580512	-0.106034	0.590117	-10.351265	0.0	-0.430768	0.430768	-90.0	0.580512	-0.106034	0.590117	-10.351265	366549.495267
31.0	1.0	0.0	0.0	0.0	-90.0	0.577988	-0.105566	0.58755	-10.350661	0.0	-0.43004	0.43004	-90.0	0.577988	-0.105566	0.58755	-10.350661	366548.040206
32.0	1.0	0.0	0.0	0.0	-90.0	0.575671	-0.105171	0.5852	-10.353366	0.0	-0.429253	0.429253	-90.0	0.575671	-0.105171	0.5852	-10.353366	366546.620226
33.0	1.0	0.0	0.0	0.0	-90.0	0.573311	-0.104551	0.582766	-10.335132	0.0	-0.428734	0.428734	-90.0	0.573311	-0.104551	0.582766	-10.335132	366545.159188
34.0	1.0	0.0	0.0	0.0	-90.0	0.571124	-0.104187	0.580549	-10.338467	0.0	-0.428098	0.428098	-90.0	0.571124	-0.104187	0.580549	-10.338467	366543.723244
35.0	1.0	0.0	0.0	0.0	-90.0	0.569044	-0.10341	0.578364	-10.299744	0.0	-0.427642	0.427642	-90.0	0.569044	-0.10341	0.578364	-10.299744	366542.257587
36.0	1.0	0.0	0.0	0.0	-90.0	0.56748	-0.103371	0.576818	-10.323668	0.0	-0.427089	0.427089	-90.0	0.56748	-0.103371	0.576818	-10.323668	366540.819623
37.0	1.0	0.0	0.0	0.0	-90.0	0.565243	-0.102479	0.574458	-10.27618	0.0	-0.426494	0.426494	-90.0	0.565243	-0.102479	0.574458	-10.27618	366539.370272
38.0	1.0	0.0	0.0	0.0	-90.0	0.562848	-0.102294	0.572069	-10.300724	0.0	-0.425074	0.425074	-90.0	0.562848	-0.102294	0.572069	-10.300724	366537.929428
39.0	1.0	0.0	0.0	0.0	-90.0	0.560463	-0.101955	0.569661	-10.31008	0.0	-0.424655	0.424655	-90.0	0.560463	-0.101955	0.569661	-10.31008	366536.498362
40.0	1.0	0.0	0.0	0.0	-90.0	0.560902	-0.10123	0.569964	-10.230408	0.0	-0.425154	0.425154	-90.0	0.560902	-0.10123	0.569964	-10.230408	366535.056113
41.0	1.0	0.0	0.0	0.0	-90.0	0.556897	-0.104999	0.566709	-10.677349	0.0	-0.424949	0.424949	-90.0	0.556897	-0.104999	0.566709	-10.677349	366533.640211
42.0	1.0	0.0	0.0	0.0	-90.0	0.559787	-0.101734	0.568956	-10.300326	0.0	-0.423322	0.423322	-90.0	0.559787	-0.101734	0.568956	-10.300326	366532.158617
43.0	1.0	0.0	0.0	0.0	-90.0	0.552121	-0.10745	0.562479	-11.012819	0.0	-0.42342	0.42342	-90.0	0.549189	-0.10751	0.559613	-11.076225	366530.719124
44.0	1.0	0.0	0.0	0.0	-90.0	0.55914	-0.111684	0.570184	-11.295724	0.0	-0.423929	0.423929	-90.0	0.55914	-0.111684	0.570184	-11.295724	366529.273217
45.0	1.0	0.0	0.0	0.0	-90.0	0.531769	-0.102156	0.541492	-10.874387	0.0	-0.425524	0.425524	-90.0	0.530325	-0.099294	0.539541	-10.604813	366527.835022
46.0	1.0	0.0	0.0	0.0	-90.0	0.529218	-0.119466	0.542535	-12.720728	0.0	-0.422564	0.422564	-90.0	0.529218	-0.119466	0.542535	-12.720728	366526.430668
47.0	1.0	0.0	0.0	0.0	-90.0	0.570925	-0.065102	0.574625	-6.505322	0.0	-0.41991	0.41991	-90.0	0.570925	-0.065102	0.574625	-6.505323	366524.967084
48.0	1.0	0.0	0.0	0.0	-90.0	0.58296	-0.063515	0.58641	-6.217973	0.0	-0.419378	0.419378	-90.0	0.58296	-0.063515	0.58641	-6.217973	366523.52016
49.0	1.0	0.0	0.0	0.0	-90.0	0.493287	-0.103102	0.503947	-11.80542	0.0	-0.42036	0.42036	-90.0	0.493287	-0.103102	0.503947	-11.80542	366522.061158
50.0	1.0	0.0	0.0	0.0	-90.0	0.499925	-0.061251	0.503663	-6.985116	0.0	-0.431912	0.431912	-90.0	0.499925	-0.061251	0.503663	-6.985116	366520.626136
51.0	1.0	0.0	0.0	0.0	-90.0	0.536718	-0.148755	0.556951	-15.491024	0.0	-0.420255	0.420255	-90.0	0.538294	-0.149036	0.558544	-15.475641	366519.142558
52.0	1.0	0.0	0.0	0.0	-90.0	0.497485	-0.082776	0.504324	-9.44681	0.0	-0.42231	0.42231	-90.0	0.497485	-0.082776	0.504324	-9.44681	366517.706491
53.0	1.0	0.0	0.0	0.0	-90.0	0.519508	-0.125082	0.534354	-13.537445	0.0	-0.419149	0.419149	-90.0	0.519508	-0.125082	0.534354	-13.537445	366516.277869
54.0	1.0	0.0	0.0	0.0	-90.0	0.517758	-0.073286	0.522919	-8.056462	0.0	-0.420541	0.420541	-90.0	0.517758	-0.073286	0.522919	-8.056462	366514.816134
55.0	1.0	0.0	0.0	0.0	-90.0	0.52564	-0.077049	0.531257	-8.339137	0.0	-0.419984	0.419984	-90.0	0.52564	-0.077049	0.531257	-8.339137	366513.386679
56.0	1.0	0.0	0.0	0.0	-90.0	0.550843	-0.095107	0.558993	-9.795977	0.0	-0.419494	0.419494	-90.0	0.550843	-0.095107	0.558993	-9.795977	366511.920866
57.0	1.0	0.0	0.0	0.0	-90.0	0.53887	-0.099018	0.547892	-10.411999	0.0	-0.419073	0.419073	-90.0	0.540774	-0.099285	0.549812	-10.403499	366510.500439
58.0	1.0	0.0	0.0	0.0	-90.0	0.538138	-0.086217	0.545001	-9.102232	0.0	-0.418949	0.418949	-90.0	0.538138	-0.086217	0.545001	-9.102232	366509.045472
59.0	1.0	0.0	0.0	0.0	-90.0	0.538036	-0.093358	0.546075	-9.843727	0.0	-0.418701	0.418701	-90.0	0.538036	-0.093358	0.546075	-9.843727	366507.622445
