# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.566221	1.503497	1.606583	69.363497	0.0	1.664075	1.664075	90.0	0.566221	1.503497	1.606583	69.363497	365645.105401
2.0	1.0	0.0	0.0	0.0	-90.0	1.142236	-1.118089	1.598382	-44.387938	0.0	1.860463	1.860463	90.0	1.142236	-1.118089	1.598382	-44.387938	365643.677122
3.0	1.0	0.0	0.0	0.0	-90.0	1.338698	-0.596104	1.465418	-24.00275	0.0	1.93442	1.93442	90.0	1.338698	-0.596104	1.465418	-24.00275	365642.259892
4.0	1.0	0.0	0.0	0.0	-90.0	0.207797	0.352208	0.408938	59.460078	0.0	0.65443	0.65443	90.0	0.207797	0.352208	0.408938	59.460078	365640.8308
5.0	1.0	0.0	0.0	0.0	-90.0	0.370385	0.319328	0.489035	40.766335	0.0	0.840966	0.840966	90.0	0.370385	0.319328	0.489035	40.766335	365639.398991
6.0	1.0	0.0	0.0	0.0	-90.0	0.637977	-0.321611	0.714456	-26.753149	0.0	1.169223	1.169223	90.0	0.637977	-0.321611	0.714456	-26.753149	365637.963931
7.0	1.0	0.0	0.0	0.0	-90.0	0.49725	-0.105206	0.508258	-11.946204	0.0	1.002903	1.002903	90.0	0.49725	-0.105206	0.508258	-11.946204	365636.53256
8.0	1.0	0.0	0.0	0.0	-90.0	0.773527	-0.063947	0.776165	-4.72584	0.0	1.318538	1.318538	90.0	0.773527	-0.063947	0.776165	-4.72584	365635.069087
9.0	1.0	0.0	0.0	0.0	-90.0	0.619417	-0.116544	0.630286	-10.655697	0.0	1.160917	1.160917	90.0	0.619417	-0.116544	0.630286	-10.655697	365633.633407
10.0	1.0	0.0	0.0	0.0	-90.0	0.65095	-0.112721	0.660637	-9.824125	0.0	1.202529	1.202529	90.0	0.65095	-0.112721	0.660637	-9.824125	365632.193791
11.0	1.0	0.0	0.0	0.0	-90.0	0.613217	-0.076691	0.617994	-7.128551	0.0	1.16486	1.16486	90.0	0.613217	-0.076691	0.617994	-7.128551	365630.73463
12.0	1.0	0.0	0.0	0.0	-90.0	0.631401	-0.057248	0.633991	-5.180725	0.0	1.188328	1.188328	90.0	0.631401	-0.057248	0.633991	-5.180725	365629.322507
13.0	1.0	0.0	0.0	0.0	-90.0	0.623305	-0.067728	0.626974	-6.201404	0.0	1.186231	1.186231	90.0	0.623305	-0.067728	0.626974	-6.201404	365627.903293
14.0	1.0	0.0	0.0	0.0	-90.0	0.61919	-0.067218	0.622828	-6.195657	0.0	1.187821	1.187821	90.0	0.61919	-0.067218	0.622828	-6.195657	365626.472572
15.0	1.0	0.0	0.0	0.0	-90.0	0.611796	-0.07188	0.616004	-6.701003	0.0	1.186644	1.186644	90.0	0.611796	-0.07188	0.616004	-6.701003	365625.020318
16.0	1.0	0.0	0.0	0.0	-90.0	0.608633	-0.073983	0.613113	-6.930597	0.0	1.188081	1.188081	90.0	0.608633	-0.073983	0.613113	-6.930597	365623.567083
17.0	1.0	0.0	0.0	0.0	-90.0	0.601823	-0.073637	0.606311	-6.97587	0.0	1.18703	1.18703	90.0	0.60264	-0.073827	0.607146	-6.984264	365622.167925
18.0	1.0	0.0	0.0	0.0	-90.0	0.599933	-0.075153	0.604622	-7.140219	0.0	1.188121	1.188121	90.0	0.599933	-0.075153	0.604622	-7.140219	365620.733005
19.0	1.0	0.0	0.0	0.0	-90.0	0.596451	-0.076448	0.60133	-7.303839	0.0	1.18829	1.18829	90.0	0.596451	-0.076448	0.60133	-7.303839	365619.31514
20.0	1.0	0.0	0.0	0.0	-90.0	0.592983	-0.076876	0.597945	-7.386765	0.0	1.188524	1.188524	90.0	0.593011	-0.076541	0.59793	-7.354572	365617.893111
21.0	1.0	0.0	0.0	0.0	-90.0	0.589542	-0.077215	0.594577	-7.461841	0.0	1.188804	1.188804	90.0	0.589542	-0.077215	0.594577	-7.461841	365616.443622
22.0	1.0	0.0	0.0	0.0	-90.0	0.586345	-0.077332	0.591423	-7.513267	0.0	1.189328	1.189328	90.0	0.586252	-0.077263	0.591321	-7.507841	365615.01638
23.0	1.0	0.0	0.0	0.0	-90.0	0.583152	-0.079159	0.5885	-7.730265	0.0	1.189418	1.189418	90.0	0.583152	-0.079159	0.5885	-7.730265	365613.586905
24.0	1.0	0.0	0.0	0.0	-90.0	0.57891	-0.078565	0.584217	-7.728517	0.0	1.185159	1.185159	90.0	0.57891	-0.078565	0.584217	-7.728517	365612.128842
25.0	1.0	0.0	0.0	0.0	-90.0	0.576626	-0.077073	0.581754	-7.613113	0.0	1.188425	1.188425	90.0	0.576626	-0.077073	0.581754	-7.613113	365610.684489
26.0	1.0	0.0	0.0	0.0	-90.0	0.574325	-0.079082	0.579744	-7.840081	0.0	1.186829	1.186829	90.0	0.574325	-0.079082	0.579744	-7.840081	365609.268911
27.0	1.0	0.0	0.0	0.0	-90.0	0.571308	-0.079845	0.576861	-7.956046	0.0	1.188539	1.188539	90.0	0.571308	-0.079845	0.576861	-7.956046	365607.837858
28.0	1.0	0.0	0.0	0.0	-90.0	0.569296	-0.079316	0.574794	-7.93154	0.0	1.1892	1.1892	90.0	0.569296	-0.079316	0.574794	-7.93154	365606.405533
29.0	1.0	0.0	0.0	0.0	-90.0	0.566933	-0.079231	0.572443	-7.955742	0.0	1.188742	1.188742	90.0	0.566933	-0.079231	0.572443	-7.955742	365604.972722
30.0	1.0	0.0	0.0	0.0	-90.0	0.564756	-0.079138	0.570273	-7.976778	0.0	1.188578	1.188578	90.0	0.564756	-0.079138	0.570273	-7.976778	365603.571969
31.0	1.0	0.0	0.0	0.0	-90.0	0.562707	-0.07912	0.568242	-8.003648	0.0	1.188774	1.188774	90.0	0.562704	-0.079111	0.568238	-8.002759	365602.120922
32.0	1.0	0.0	0.0	0.0	-90.0	0.560639	-0.078972	0.566173	-8.017958	0.0	1.188591	1.188591	90.0	0.560639	-0.078972	0.566173	-8.017958	365600.65436
33.0	1.0	0.0	0.0	0.0	-90.0	0.558493	-0.078918	0.564042	-8.042956	0.0	1.188591	1.188591	90.0	0.558493	-0.078918	0.564042	-8.042956	365599.207152
34.0	1.0	0.0	0.0	0.0	-90.0	0.556658	-0.078856	0.562216	-8.06281	0.0	1.188504	1.188504	90.0	0.556658	-0.078856	0.562216	-8.06281	365597.772625
35.0	1.0	0.0	0.0	0.0	-90.0	0.554724	-0.078632	0.560269	-8.067918	0.0	1.188434	1.188434	90.0	0.554635	-0.078639	0.560182	-8.069889	365596.338816
36.0	1.0	0.0	0.0	0.0	-90.0	0.553077	-0.078517	0.558623	-8.079975	0.0	1.188378	1.188378	90.0	0.553077	-0.078517	0.558623	-8.079975	365594.916181
37.0	1.0	0.0	0.0	0.0	-90.0	0.551347	-0.078146	0.556858	-8.06718	0.0	1.188312	1.188312	90.0	0.551347	-0.078146	0.556858	-8.06718	365593.466255
38.0	1.0	0.0	0.0	0.0	-90.0	0.549506	-0.07851	0.555086	-8.131085	0.0	1.188214	1.188214	90.0	0.549195	-0.078623	0.554794	-8.147153	365592.039935
39.0	1.0	0.0	0.0	0.0	-90.0	0.548158	-0.078904	0.553808	-8.191152	0.0	1.188177	1.188177	90.0	0.548158	-0.078904	0.553808	-8.191152	365590.632492
40.0	1.0	0.0	0.0	0.0	-90.0	0.54668	-0.07574	0.551901	-7.887821	0.0	1.188063	1.188063	90.0	0.54668	-0.07574	0.551901	-7.887821	365589.205547
41.0	1.0	0.0	0.0	0.0	-90.0	0.547357	-0.075808	0.552581	-7.885233	0.0	1.188067	1.188067	90.0	0.547357	-0.075808	0.552581	-7.885233	365587.77795
42.0	1.0	0.0	0.0	0.0	-90.0	0.541011	-0.072906	0.545901	-7.674898	0.0	1.187797	1.187797	90.0	0.541796	-0.071666	0.546516	-7.535075	365586.341913
43.0	1.0	0.0	0.0	0.0	-90.0	0.547235	-0.070417	0.551747	-7.332374	0.0	1.187934	1.187934	90.0	0.547235	-0.070417	0.551747	-7.332374	365584.935132
44.0	1.0	0.0	0.0	0.0	-90.0	0.548067	-0.088366	0.555145	-9.159114	0.0	1.188161	1.188161	90.0	0.548067	-0.088366	0.555145	-9.159114	365583.427382
45.0	1.0	0.0	0.0	0.0	-90.0	0.521928	-0.063693	0.5258	-6.957677	0.0	1.186025	1.186025	90.0	0.521928	-0.063693	0.5258	-6.957677	365581.999466
46.0	1.0	0.0	0.0	0.0	-90.0	0.510044	-0.072482	0.515168	-8.088069	0.0	1.184266	1.184266	90.0	0.510044	-0.072482	0.515168	-8.088069	365580.573453
47.0	1.0	0.0	0.0	0.0	-90.0	0.574377	-0.081518	0.580132	-8.077749	0.0	1.190175	1.190175	90.0	0.574483	-0.083231	0.580481	-8.243599	365579.161903
48.0	1.0	0.0	0.0	0.0	-90.0	0.574529	-0.102202	0.583549	-10.086721	0.0	1.189126	1.189126	90.0	0.574529	-0.102202	0.583549	-10.086721	365577.752648
49.0	1.0	0.0	0.0	0.0	-90.0	0.542416	-0.022453	0.542881	-2.370339	0.0	1.185329	1.185329	90.0	0.544798	-0.022725	0.545271	-2.388599	365576.318082
50.0	1.0	0.0	0.0	0.0	-90.0	0.589005	-0.080406	0.594468	-7.773471	0.0	1.18595	1.18595	90.0	0.589005	-0.080406	0.594468	-7.773471	365574.884081
51.0	1.0	0.0	0.0	0.0	-90.0	0.552407	-0.025056	0.552975	-2.596996	0.0	1.18773	1.18773	90.0	0.552407	-0.025056	0.552975	-2.596996	365573.453061
52.0	1.0	0.0	0.0	0.0	-90.0	0.550017	-0.118266	0.562589	-12.135142	0.0	1.184768	1.184768	90.0	0.550017	-0.118266	0.562589	-12.135141	365572.009426
53.0	1.0	0.0	0.0	0.0	-90.0	0.556825	-0.100449	0.565813	-10.225946	0.0	1.185846	1.185846	90.0	0.556825	-0.100449	0.565813	-10.225946	365570.570819
54.0	1.0	0.0	0.0	0.0	-90.0	0.51076	-0.051432	0.513343	-5.750154	0.0	1.186967	1.186967	90.0	0.51076	-0.051432	0.513343	-5.750154	365569.125382
55.0	1.0	0.0	0.0	0.0	-90.0	0.529456	-0.052854	0.532087	-5.700835	0.0	1.187308	1.187308	90.0	0.529456	-0.052854	0.532087	-5.700835	365567.69247
56.0	1.0	0.0	0.0	0.0	-90.0	0.530661	-0.087607	0.537844	-9.374403	0.0	1.186355	1.186355	90.0	0.539955	-0.084835	0.546579	-8.929068	365566.241325
57.0	1.0	0.0	0.0	0.0	-90.0	0.521076	-0.078922	0.527019	-8.612593	0.0	1.185678	1.185678	90.0	0.521076	-0.078922	0.527019	-8.612593	365564.782163
58.0	1.0	0.0	0.0	0.0	-90.0	0.52972	-0.071541	0.534529	-7.691506	0.0	1.186299	1.186299	90.0	0.52972	-0.071541	0.534529	-7.691506	365563.314543
59.0	1.0	0.0	0.0	0.0	-90.0	0.521994	-0.07416	0.527236	-8.085941	0.0	1.185644	1.185644	90.0	0.522763	-0.076185	0.528286	-8.291632	365561.874059
60.0	1.0	0.0	0.0	0.0	-90.0	0.523996	-0.073193	0.529083	-7.951746	0.0	1.185715	1.185715	90.0	0.525014	-0.0733	0.530106	-7.948019	365560.418086
61.0	1.0	0.0	0.0	0.0	-90.0	0.521477	-0.071899	0.52641	-7.850212	0.0	1.185449	1.185449	90.0	0.521477	-0.071899	0.52641	-7.850212	365558.974225
62.0	1.0	0.0	0.0	0.0	-90.0	0.521051	-0.071655	0.525955	-7.830153	0.0	1.185415	1.185415	90.0	0.521051	-0.071655	0.525955	-7.830153	365557.527272
63.0	1.0	0.0	0.0	0.0	-90.0	0.520804	-0.070436	0.525545	-7.702208	0.0	1.185235	1.185235	90.0	0.520804	-0.070436	0.525545	-7.702208	365556.086211
64.0	1.0	0.0	0.0	0.0	-90.0	0.520031	-0.070683	0.524813	-7.740295	0.0	1.185008	1.185008	90.0	0.520031	-0.070683	0.524813	-7.740295	365554.633931
65.0	1.0	0.0	0.0	0.0	-90.0	0.519216	-0.070377	0.523964	-7.71907	0.0	1.184807	1.184807	90.0	0.519216	-0.070377	0.523964	-7.71907	365553.202425
66.0	1.0	0.0	0.0	0.0	-90.0	0.518431	-0.070114	0.52315	-7.702151	0.0	1.184679	1.184679	90.0	0.518431	-0.070114	0.52315	-7.702151	365551.735716
67.0	1.0	0.0	0.0	0.0	-90.0	0.517654	-0.069772	0.522335	-7.676359	0.0	1.184467	1.184467	90.0	0.517654	-0.069772	0.522335	-7.676359	365550.302658
68.0	1.0	0.0	0.0	0.0	-90.0	0.516929	-0.06952	0.521582	-7.659562	0.0	1.184352	1.184352	90.0	0.516929	-0.06952	0.521582	-7.659562	365548.892054
69.0	1.0	0.0	0.0	0.0	-90.0	0.516152	-0.069215	0.520772	-7.637691	0.0	1.184161	1.184161	90.0	0.516152	-0.069215	0.520772	-7.637691	365547.46305
70.0	1.0	0.0	0.0	0.0	-90.0	0.515494	-0.068819	0.520068	-7.60413	0.0	1.184012	1.184012	90.0	0.515494	-0.068819	0.520068	-7.60413	365546.038182
