# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.787948	-1.553548	1.741945	-63.106214	0.0	-1.867166	1.867166	-90.0	0.844276	-1.572278	1.784618	-61.765255	352159.71574
2.0	1.0	0.0	0.0	0.0	-90.0	-0.040267	-0.053386	0.066869	-127.02552	0.0	-0.116594	0.116594	-90.0	-0.040267	-0.053386	0.066869	-127.025521	352158.278616
3.0	1.0	0.0	0.0	0.0	-90.0	0.197297	-0.621255	0.651832	-72.381291	0.0	-0.848438	0.848438	-90.0	0.197297	-0.621255	0.651832	-72.381291	352156.811501
4.0	1.0	0.0	0.0	0.0	-90.0	0.34211	0.477328	0.587266	54.370127	0.0	-0.92912	0.92912	-90.0	0.34211	0.477328	0.587266	54.370127	352155.349229
5.0	1.0	0.0	0.0	0.0	-90.0	0.321625	0.199008	0.378215	31.747467	0.0	-0.920403	0.920403	-90.0	0.321625	0.199008	0.378215	31.747467	352153.884365
6.0	1.0	0.0	0.0	0.0	-90.0	0.656452	-0.412644	0.775373	-32.153374	0.0	-1.342784	1.342784	-90.0	0.656452	-0.412644	0.775373	-32.153374	352152.44455
7.0	1.0	0.0	0.0	0.0	-90.0	0.513768	-0.274086	0.582306	-28.079121	0.0	-1.203669	1.203669	-90.0	0.513768	-0.274086	0.582306	-28.079121	352150.997912
8.0	1.0	0.0	0.0	0.0	-90.0	0.662936	-0.244979	0.706753	-20.281089	0.0	-1.368832	1.368832	-90.0	0.662936	-0.244979	0.706753	-20.281089	352149.577975
9.0	1.0	0.0	0.0	0.0	-90.0	0.553366	-0.174831	0.580328	-17.533494	0.0	-1.255557	1.255557	-90.0	0.553366	-0.174831	0.580328	-17.533494	352148.131146
10.0	1.0	0.0	0.0	0.0	-90.0	0.630351	-0.125952	0.642812	-11.299637	0.0	-1.322948	1.322948	-90.0	0.630351	-0.125952	0.642812	-11.299637	352146.672901
11.0	1.0	0.0	0.0	0.0	-90.0	0.576558	-0.153225	0.596571	-14.882856	0.0	-1.29615	1.29615	-90.0	0.576558	-0.153225	0.596571	-14.882856	352145.208364
12.0	1.0	0.0	0.0	0.0	-90.0	0.567698	-0.141938	0.585173	-14.037524	0.0	-1.2976	1.2976	-90.0	0.567698	-0.141938	0.585173	-14.037523	352143.780433
13.0	1.0	0.0	0.0	0.0	-90.0	0.56158	-0.14035	0.578853	-14.031907	0.0	-1.309188	1.309188	-90.0	0.56158	-0.14035	0.578853	-14.031907	352142.342297
14.0	1.0	0.0	0.0	0.0	-90.0	0.545413	-0.140776	0.563288	-14.472724	0.0	-1.293963	1.293963	-90.0	0.545413	-0.140776	0.563288	-14.472724	352140.904307
15.0	1.0	0.0	0.0	0.0	-90.0	0.539934	-0.140897	0.558015	-14.625266	0.0	-1.306069	1.306069	-90.0	0.539934	-0.140897	0.558015	-14.625266	352139.471994
16.0	1.0	0.0	0.0	0.0	-90.0	0.530175	-0.135994	0.547339	-14.386641	0.0	-1.29202	1.29202	-90.0	0.529514	-0.134579	0.546349	-14.260151	352138.053368
