# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.149939	0.152316	0.213733	45.450507	0.0	0.219275	0.219275	90.0	0.144498	0.155077	0.211964	47.022397	337177.175855
2.0	1.0	0.0	0.0	0.0	-90.0	0.079175	-0.000211	0.079175	-0.15241	0.0	0.052206	0.052206	90.0	0.079175	-0.000211	0.079175	-0.15241	337175.734273
3.0	1.0	0.0	0.0	0.0	-90.0	0.167808	-0.001545	0.167815	-0.527508	0.0	0.1791	0.1791	90.0	0.167808	-0.001545	0.167815	-0.527508	337174.307265
4.0	1.0	0.0	0.0	0.0	-90.0	0.16927	0.013706	0.169824	4.62925	0.0	-0.153911	0.153911	-90.0	0.16927	0.013706	0.169824	4.62925	337172.856216
5.0	1.0	0.0	0.0	0.0	-90.0	0.165555	0.020935	0.166873	7.206978	0.0	-0.071842	0.071842	-90.0	0.165555	0.020935	0.166873	7.206979	337171.425061
6.0	1.0	0.0	0.0	0.0	-90.0	0.172273	0.017032	0.173112	5.64628	0.0	0.03683	0.03683	90.0	0.172273	0.017032	0.173112	5.64628	337169.967541
7.0	1.0	0.0	0.0	0.0	-90.0	0.174661	0.011717	0.175054	3.83785	0.0	-0.025019	0.025019	-90.0	0.175388	0.012175	0.17581	3.970971	337168.537218
8.0	1.0	0.0	0.0	0.0	-90.0	0.17471	0.008443	0.174914	2.766853	0.0	0.034592	0.034592	90.0	0.17471	0.008443	0.174914	2.766853	337167.088426
9.0	1.0	0.0	0.0	0.0	-90.0	0.174431	0.005534	0.174518	1.817147	0.0	-0.003506	0.003506	-90.0	0.174511	0.005377	0.174593	1.76474	337165.648577
10.0	1.0	0.0	0.0	0.0	-90.0	0.17435	0.002814	0.174373	0.924602	0.0	0.011897	0.011897	90.0	0.17435	0.002814	0.174373	0.924602	337164.196893
11.0	1.0	0.0	0.0	0.0	-90.0	0.173813	0.00082	0.173815	0.270249	0.0	0.000671	0.000671	90.0	0.173813	0.00082	0.173815	0.270249	337162.788857
12.0	1.0	0.0	0.0	0.0	-90.0	0.173286	-0.001072	0.173289	-0.354564	0.0	0.000137	0.000137	90.0	0.173286	-0.001072	0.173289	-0.354564	337161.342788
13.0	1.0	0.0	0.0	0.0	-90.0	0.172731	-0.002748	0.172753	-0.911579	0.0	5.9e-05	5.9e-05	90.0	0.172731	-0.002748	0.172753	-0.911579	337159.911455
14.0	1.0	0.0	0.0	0.0	-90.0	0.172076	-0.004122	0.172125	-1.372382	0.0	0.001774	0.001774	90.0	0.172076	-0.004122	0.172125	-1.372382	337158.500065
15.0	1.0	0.0	0.0	0.0	-90.0	0.171406	-0.005462	0.171493	-1.825089	0.0	0.001084	0.001084	90.0	0.171389	-0.005474	0.171477	-1.829248	337157.048571
16.0	1.0	0.0	0.0	0.0	-90.0	0.170831	-0.006348	0.170949	-2.127962	0.0	0.001224	0.001224	90.0	0.170831	-0.006348	0.170949	-2.127962	337155.633447
17.0	1.0	0.0	0.0	0.0	-90.0	0.1704	-0.007322	0.170558	-2.460481	0.0	0.000698	0.000698	90.0	0.1704	-0.007322	0.170558	-2.460481	337154.189654
18.0	1.0	0.0	0.0	0.0	-90.0	0.169598	-0.008201	0.169796	-2.768289	0.0	0.003308	0.003308	90.0	0.169598	-0.008201	0.169796	-2.76829	337152.754551
19.0	1.0	0.0	0.0	0.0	-90.0	0.168963	-0.009195	0.169213	-3.115125	0.0	0.004993	0.004993	90.0	0.168963	-0.009195	0.169213	-3.115125	337151.286972
20.0	1.0	0.0	0.0	0.0	-90.0	0.168348	-0.009828	0.168634	-3.341051	0.0	0.000549	0.000549	90.0	0.168353	-0.009809	0.168638	-3.334707	337149.877392
21.0	1.0	0.0	0.0	0.0	-90.0	0.167866	-0.010525	0.168196	-3.587567	0.0	0.00137	0.00137	90.0	0.167866	-0.010525	0.168196	-3.587567	337148.418896
22.0	1.0	0.0	0.0	0.0	-90.0	0.167348	-0.010967	0.167707	-3.749396	0.0	0.001516	0.001516	90.0	0.167348	-0.010967	0.167707	-3.749397	337146.979601
