# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.167699	0.419968	0.452212	68.232431	0.0	0.42848	0.42848	90.0	0.167699	0.419968	0.452212	68.232431	340827.619247
2.0	1.0	0.0	0.0	0.0	-90.0	0.834287	-0.197622	0.857373	-13.326345	0.0	0.964545	0.964545	90.0	0.834287	-0.197622	0.857373	-13.326345	340826.202646
3.0	1.0	0.0	0.0	0.0	-90.0	0.987721	0.090573	0.991865	5.239285	0.0	1.100165	1.100165	90.0	0.987721	0.090573	0.991865	5.239285	340824.74961
4.0	1.0	0.0	0.0	0.0	-90.0	0.843086	-0.034667	0.843799	-2.35462	0.0	-0.761594	0.761594	-90.0	0.843086	-0.034667	0.843799	-2.35462	340823.337828
5.0	1.0	0.0	0.0	0.0	-90.0	0.814	-0.004212	0.814011	-0.296503	0.0	-0.534713	0.534713	-90.0	0.819447	-0.014524	0.819576	-1.015421	340821.897797
6.0	1.0	0.0	0.0	0.0	-90.0	0.799938	0.016232	0.800103	1.162462	0.0	0.325898	0.325898	90.0	0.799938	0.016232	0.800103	1.162462	340820.432935
7.0	1.0	0.0	0.0	0.0	-90.0	0.787153	-0.011632	0.787238	-0.846586	0.0	-0.115564	0.115564	-90.0	0.787153	-0.011632	0.787238	-0.846586	340819.011944
8.0	1.0	0.0	0.0	0.0	-90.0	0.776313	-0.019	0.776545	-1.402036	0.0	0.082035	0.082035	90.0	0.776313	-0.019	0.776545	-1.402036	340817.595906
9.0	1.0	0.0	0.0	0.0	-90.0	0.7728	-0.030405	0.773398	-2.253068	0.0	-0.013965	0.013965	-90.0	0.7728	-0.030405	0.773398	-2.253068	340816.187935
10.0	1.0	0.0	0.0	0.0	-90.0	0.762994	-0.039583	0.76402	-2.969785	0.0	-0.018673	0.018673	-90.0	0.762994	-0.039583	0.76402	-2.969785	340814.764072
11.0	1.0	0.0	0.0	0.0	-90.0	0.752949	-0.045628	0.75433	-3.467825	0.0	0.01609	0.01609	90.0	0.752949	-0.045628	0.75433	-3.467825	340813.31545
12.0	1.0	0.0	0.0	0.0	-90.0	0.745806	-0.052905	0.74768	-4.057572	0.0	-0.00915	0.00915	-90.0	0.745806	-0.052905	0.74768	-4.057572	340811.904963
13.0	1.0	0.0	0.0	0.0	-90.0	0.738611	-0.057155	0.740819	-4.424837	0.0	0.002329	0.002329	90.0	0.738611	-0.057155	0.740819	-4.424837	340810.475991
