# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	-0.319792	0.963768	1.015439	108.356588	0.0	-1.047716	1.047716	-90.0	-0.319792	0.963768	1.015439	108.356588	360534.208105
2.0	1.0	0.0	0.0	0.0	-90.0	2.960277	0.22852	2.969084	4.414216	0.0	-3.390166	3.390166	-90.0	2.960277	0.22852	2.969084	4.414216	360532.753171
3.0	1.0	0.0	0.0	0.0	-90.0	2.244375	0.617554	2.327787	15.384577	0.0	-2.957845	2.957845	-90.0	2.244375	0.617554	2.327787	15.384577	360531.328177
4.0	1.0	0.0	0.0	0.0	-90.0	0.157731	-0.438883	0.466366	-70.231933	0.0	-1.045911	1.045911	-90.0	0.157731	-0.438883	0.466366	-70.231933	360529.900476
5.0	1.0	0.0	0.0	0.0	-90.0	0.248347	-0.075187	0.259479	-16.843626	0.0	-1.169662	1.169662	-90.0	0.248347	-0.075187	0.259479	-16.843626	360528.481792
6.0	1.0	0.0	0.0	0.0	-90.0	1.106709	-0.462293	1.199383	-22.671213	0.0	-2.079169	2.079169	-90.0	1.106709	-0.462293	1.199383	-22.671213	360527.048586
7.0	1.0	0.0	0.0	0.0	-90.0	0.744296	-0.326835	0.812894	-23.707235	0.0	-1.713473	1.713473	-90.0	0.782029	-0.381451	0.8701	-26.001781	360525.621011
8.0	1.0	0.0	0.0	0.0	-90.0	1.073123	0.01066	1.073176	0.569117	0.0	-1.998672	1.998672	-90.0	1.073123	0.01066	1.073176	0.569117	360524.165495
9.0	1.0	0.0	0.0	0.0	-90.0	0.990006	-0.108607	0.995946	-6.26051	0.0	-1.935739	1.935739	-90.0	0.990006	-0.108607	0.995946	-6.26051	360522.68573
10.0	1.0	0.0	0.0	0.0	-90.0	0.931773	-0.094316	0.936534	-5.779886	0.0	-1.888053	1.888053	-90.0	0.931773	-0.094316	0.936534	-5.779886	360521.245155
11.0	1.0	0.0	0.0	0.0	-90.0	0.839328	-0.163409	0.855087	-11.017137	0.0	-1.813984	1.813984	-90.0	0.839328	-0.163409	0.855087	-11.017137	360519.813653
12.0	1.0	0.0	0.0	0.0	-90.0	0.864397	-0.127148	0.873698	-8.3679	0.0	-1.83723	1.83723	-90.0	0.864397	-0.127148	0.873698	-8.3679	360518.405332
13.0	1.0	0.0	0.0	0.0	-90.0	0.868915	-0.142815	0.880573	-9.333702	0.0	-1.839423	1.839423	-90.0	0.858278	-0.134041	0.868681	-8.876459	360517.009955
14.0	1.0	0.0	0.0	0.0	-90.0	0.849319	-0.16031	0.864316	-10.688923	0.0	-1.840983	1.840983	-90.0	0.849319	-0.16031	0.864316	-10.688923	360515.567441
15.0	1.0	0.0	0.0	0.0	-90.0	0.845795	-0.175037	0.863717	-11.692294	0.0	-1.849019	1.849019	-90.0	0.845795	-0.175037	0.863717	-11.692294	360514.126492
16.0	1.0	0.0	0.0	0.0	-90.0	0.853547	-0.174318	0.871165	-11.542674	0.0	-1.862246	1.862246	-90.0	0.853547	-0.174318	0.871165	-11.542674	360512.682864
17.0	1.0	0.0	0.0	0.0	-90.0	0.828905	-0.191269	0.850687	-12.993537	0.0	-1.843472	1.843472	-90.0	0.830705	-0.187331	0.851565	-12.708095	360511.269878
18.0	1.0	0.0	0.0	0.0	-90.0	0.834799	-0.191845	0.856559	-12.942408	0.0	-1.856442	1.856442	-90.0	0.83515	-0.190732	0.856652	-12.864598	360509.838554
19.0	1.0	0.0	0.0	0.0	-90.0	0.844714	-0.185742	0.864894	-12.401276	0.0	-1.859687	1.859687	-90.0	0.844714	-0.185742	0.864894	-12.401276	360508.399445
20.0	1.0	0.0	0.0	0.0	-90.0	0.824157	-0.198087	0.847628	-13.51475	0.0	-1.853035	1.853035	-90.0	0.824157	-0.198087	0.847628	-13.51475	360506.967507
21.0	1.0	0.0	0.0	0.0	-90.0	0.803819	-0.205854	0.829759	-14.364453	0.0	-1.842554	1.842554	-90.0	0.803819	-0.205854	0.829759	-14.364453	360505.512034
22.0	1.0	0.0	0.0	0.0	-90.0	0.796163	-0.209413	0.823244	-14.736617	0.0	-1.848364	1.848364	-90.0	0.796163	-0.209413	0.823244	-14.736617	360504.099043
23.0	1.0	0.0	0.0	0.0	-90.0	0.783171	-0.215056	0.812161	-15.354758	0.0	-1.848194	1.848194	-90.0	0.783171	-0.215056	0.812161	-15.354758	360502.643981
24.0	1.0	0.0	0.0	0.0	-90.0	0.767278	-0.22076	0.798405	-16.05148	0.0	-1.829817	1.829817	-90.0	0.767278	-0.22076	0.798405	-16.05148	360501.238348
25.0	1.0	0.0	0.0	0.0	-90.0	0.767295	-0.220963	0.798478	-16.065184	0.0	-1.842257	1.842257	-90.0	0.767295	-0.220963	0.798478	-16.065184	360499.802152
26.0	1.0	0.0	0.0	0.0	-90.0	0.756677	-0.226594	0.789876	-16.670822	0.0	-1.832606	1.832606	-90.0	0.756677	-0.226594	0.789876	-16.670822	360498.373573
27.0	1.0	0.0	0.0	0.0	-90.0	0.743073	-0.228717	0.777476	-17.108284	0.0	-1.838108	1.838108	-90.0	0.743073	-0.228717	0.777476	-17.108284	360496.93976
28.0	1.0	0.0	0.0	0.0	-90.0	0.746422	-0.229037	0.780772	-17.058449	0.0	-1.840245	1.840245	-90.0	0.746422	-0.229037	0.780772	-17.058449	360495.529275
29.0	1.0	0.0	0.0	0.0	-90.0	0.736311	-0.230648	0.771591	-17.393048	0.0	-1.848596	1.848596	-90.0	0.736311	-0.230648	0.771591	-17.393048	360494.081121
30.0	1.0	0.0	0.0	0.0	-90.0	0.740802	-0.231507	0.776134	-17.354476	0.0	-1.854002	1.854002	-90.0	0.740802	-0.231507	0.776134	-17.354476	360492.653983
