# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.247925	-0.272874	0.368682	-47.742681	0.0	0.40003	0.40003	90.0	0.263011	-0.279675	0.383918	-46.758896	327834.190127
2.0	1.0	0.0	0.0	0.0	-90.0	0.476039	0.062485	0.480122	7.477953	0.0	-0.527108	0.527108	-90.0	0.476039	0.062485	0.480122	7.477952	327832.758492
3.0	1.0	0.0	0.0	0.0	-90.0	0.247089	0.004278	0.247126	0.99183	0.0	0.032541	0.032541	90.0	0.247089	0.004278	0.247126	0.99183	327831.263766
4.0	1.0	0.0	0.0	0.0	-90.0	0.297441	-0.020825	0.298169	-4.005056	0.0	-0.136317	0.136317	-90.0	0.297441	-0.020825	0.298169	-4.005056	327829.829951
5.0	1.0	0.0	0.0	0.0	-90.0	0.318464	-0.022832	0.319281	-4.100678	0.0	-0.147202	0.147202	-90.0	0.318464	-0.022832	0.319281	-4.100678	327828.372927
6.0	1.0	0.0	0.0	0.0	-90.0	0.330493	-0.022241	0.33124	-3.850033	0.0	0.023627	0.023627	90.0	0.330493	-0.022241	0.33124	-3.850033	327826.923099
7.0	1.0	0.0	0.0	0.0	-90.0	0.329213	-0.029026	0.33049	-5.038696	0.0	-0.099408	0.099408	-90.0	0.329213	-0.029026	0.33049	-5.038696	327825.503495
8.0	1.0	0.0	0.0	0.0	-90.0	0.328203	-0.03237	0.329795	-5.632743	0.0	0.034563	0.034563	90.0	0.328203	-0.03237	0.329795	-5.632743	327824.069652
9.0	1.0	0.0	0.0	0.0	-90.0	0.326483	-0.035796	0.328439	-6.257002	0.0	-0.011405	0.011405	-90.0	0.326483	-0.035796	0.328439	-6.257002	327822.643492
10.0	1.0	0.0	0.0	0.0	-90.0	0.3239	-0.039781	0.326334	-7.00187	0.0	0.003186	0.003186	90.0	0.323921	-0.03982	0.32636	-7.008318	327821.217775
11.0	1.0	0.0	0.0	0.0	-90.0	0.322384	-0.043212	0.325267	-7.634427	0.0	0.017041	0.017041	90.0	0.322384	-0.043212	0.325267	-7.634427	327819.771719
12.0	1.0	0.0	0.0	0.0	-90.0	0.319718	-0.046958	0.323148	-8.355466	0.0	0.009047	0.009047	90.0	0.319718	-0.046958	0.323148	-8.355466	327818.334834
