# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	1.100256	0.353672	1.155702	17.819764	0.0	-1.197642	1.197642	-90.0	1.100256	0.353672	1.155702	17.819764	328818.753221
2.0	1.0	0.0	0.0	0.0	-90.0	0.336923	0.075636	0.345308	12.652645	0.0	0.015921	0.015921	90.0	0.317949	0.038313	0.320249	6.871117	328817.296258
3.0	1.0	0.0	0.0	0.0	-90.0	0.577645	-0.174889	0.60354	-16.844273	0.0	-0.588223	0.588223	-90.0	0.577645	-0.174889	0.60354	-16.844273	328815.870279
4.0	1.0	0.0	0.0	0.0	-90.0	0.616867	-0.074013	0.621292	-6.841769	0.0	0.429645	0.429645	90.0	0.616867	-0.074013	0.621292	-6.841769	328814.427988
5.0	1.0	0.0	0.0	0.0	-90.0	0.649036	-0.035035	0.649981	-3.089859	0.0	0.188125	0.188125	90.0	0.649036	-0.035035	0.649981	-3.089859	328812.997141
6.0	1.0	0.0	0.0	0.0	-90.0	0.667494	-0.042192	0.668826	-3.61682	0.0	0.073317	0.073317	90.0	0.666178	-0.038397	0.667284	-3.298712	328811.555904
7.0	1.0	0.0	0.0	0.0	-90.0	0.660092	-0.056868	0.662537	-4.924	0.0	0.198693	0.198693	90.0	0.660092	-0.056868	0.662537	-4.924	328810.137354
8.0	1.0	0.0	0.0	0.0	-90.0	0.660736	-0.060144	0.663468	-5.201055	0.0	0.087067	0.087067	90.0	0.660922	-0.060999	0.663731	-5.273082	328808.712155
9.0	1.0	0.0	0.0	0.0	-90.0	0.655136	-0.070038	0.658869	-6.102114	0.0	0.109877	0.109877	90.0	0.655136	-0.070038	0.658869	-6.102114	328807.255359
10.0	1.0	0.0	0.0	0.0	-90.0	0.650946	-0.077548	0.655549	-6.793704	0.0	0.031212	0.031212	90.0	0.651094	-0.077675	0.655711	-6.803204	328805.829705
11.0	1.0	0.0	0.0	0.0	-90.0	0.650369	-0.081432	0.655447	-7.136784	0.0	0.028185	0.028185	90.0	0.650369	-0.081432	0.655447	-7.136784	328804.34637
12.0	1.0	0.0	0.0	0.0	-90.0	0.643736	-0.089998	0.649996	-7.958679	0.0	0.025359	0.025359	90.0	0.643736	-0.089998	0.649996	-7.958679	328802.909084
13.0	1.0	0.0	0.0	0.0	-90.0	0.639278	-0.096837	0.646571	-8.613636	0.0	-0.000171	0.000171	-90.0	0.639278	-0.096837	0.646571	-8.613636	328801.478876
14.0	1.0	0.0	0.0	0.0	-90.0	0.623162	-0.110551	0.632892	-10.059804	0.0	0.009614	0.009614	90.0	0.623162	-0.110551	0.632892	-10.059804	328800.039612
15.0	1.0	0.0	0.0	0.0	-90.0	0.623015	-0.113874	0.633336	-10.358163	0.0	0.010363	0.010363	90.0	0.622827	-0.114009	0.633175	-10.373189	328798.584502
16.0	1.0	0.0	0.0	0.0	-90.0	0.631725	-0.110378	0.641295	-9.910911	0.0	0.006247	0.006247	90.0	0.631725	-0.110378	0.641295	-9.910911	328797.147446
17.0	1.0	0.0	0.0	0.0	-90.0	0.627515	-0.114888	0.637945	-10.375071	0.0	0.007947	0.007947	90.0	0.627515	-0.114888	0.637945	-10.375071	328795.684744
18.0	1.0	0.0	0.0	0.0	-90.0	0.622048	-0.119591	0.63344	-10.882531	0.0	0.007135	0.007135	90.0	0.622048	-0.119591	0.63344	-10.882531	328794.278768
19.0	1.0	0.0	0.0	0.0	-90.0	0.624079	-0.120691	0.635642	-10.945347	0.0	0.007706	0.007706	90.0	0.624079	-0.120691	0.635642	-10.945347	328792.836786
20.0	1.0	0.0	0.0	0.0	-90.0	0.599742	-0.135363	0.614828	-12.718671	0.0	0.009075	0.009075	90.0	0.599742	-0.135363	0.614828	-12.718671	328791.398446
21.0	1.0	0.0	0.0	0.0	-90.0	0.598593	-0.138002	0.614295	-12.982352	0.0	0.008209	0.008209	90.0	0.598593	-0.138002	0.614295	-12.982352	328789.934821
22.0	1.0	0.0	0.0	0.0	-90.0	0.599618	-0.137839	0.615257	-12.946098	0.0	0.011458	0.011458	90.0	0.599618	-0.137839	0.615257	-12.946099	328788.515362
23.0	1.0	0.0	0.0	0.0	-90.0	0.600776	-0.137454	0.6163	-12.8871	0.0	0.014213	0.014213	90.0	0.600776	-0.137454	0.6163	-12.8871	328787.085934
24.0	1.0	0.0	0.0	0.0	-90.0	0.598364	-0.143994	0.615446	-13.530701	0.0	0.016545	0.016545	90.0	0.598258	-0.144179	0.615386	-13.549767	328785.615623
25.0	1.0	0.0	0.0	0.0	-90.0	0.588712	-0.146772	0.606732	-13.999022	0.0	0.006922	0.006922	90.0	0.588712	-0.146772	0.606732	-13.999022	328784.188199
26.0	1.0	0.0	0.0	0.0	-90.0	0.586738	-0.149387	0.605456	-14.28439	0.0	0.01223	0.01223	90.0	0.586738	-0.149387	0.605456	-14.28439	328782.75007
27.0	1.0	0.0	0.0	0.0	-90.0	0.570841	-0.153844	0.591209	-15.08306	0.0	0.011977	0.011977	90.0	0.570275	-0.154242	0.590766	-15.134697	328781.289148
28.0	1.0	0.0	0.0	0.0	-90.0	0.591872	-0.148063	0.610111	-14.044927	0.0	0.013515	0.013515	90.0	0.591872	-0.148063	0.610111	-14.044927	328779.852779
29.0	1.0	0.0	0.0	0.0	-90.0	0.58113	-0.15393	0.601171	-14.835831	0.0	0.011192	0.011192	90.0	0.58113	-0.15393	0.601171	-14.835831	328778.388767
30.0	1.0	0.0	0.0	0.0	-90.0	0.569936	-0.157909	0.591407	-15.486169	0.0	0.012827	0.012827	90.0	0.569936	-0.157909	0.591407	-15.486169	328776.932668
31.0	1.0	0.0	0.0	0.0	-90.0	0.573987	-0.156882	0.59504	-15.286708	0.0	0.009808	0.009808	90.0	0.573987	-0.156882	0.59504	-15.286708	328775.507251
32.0	1.0	0.0	0.0	0.0	-90.0	0.565548	-0.160478	0.587876	-15.841656	0.0	0.009963	0.009963	90.0	0.565548	-0.160478	0.587876	-15.841656	328774.085826
33.0	1.0	0.0	0.0	0.0	-90.0	0.556373	-0.163327	0.579851	-16.359954	0.0	0.012669	0.012669	90.0	0.556373	-0.163327	0.579851	-16.359954	328772.647165
34.0	1.0	0.0	0.0	0.0	-90.0	0.569658	-0.161215	0.592031	-15.801654	0.0	0.015411	0.015411	90.0	0.569658	-0.161215	0.592031	-15.801654	328771.193503
35.0	1.0	0.0	0.0	0.0	-90.0	0.538665	-0.167798	0.564195	-17.302142	0.0	0.014027	0.014027	90.0	0.538665	-0.167798	0.564195	-17.302142	328769.751833
36.0	1.0	0.0	0.0	0.0	-90.0	0.553059	-0.166355	0.577536	-16.740846	0.0	0.008321	0.008321	90.0	0.553711	-0.166274	0.578138	-16.714516	328768.327796
37.0	1.0	0.0	0.0	0.0	-90.0	0.567477	-0.163019	0.590428	-16.027724	0.0	0.009045	0.009045	90.0	0.567084	-0.16298	0.59004	-16.034625	328766.850618
38.0	1.0	0.0	0.0	0.0	-90.0	0.56285	-0.165981	0.586813	-16.430429	0.0	0.007496	0.007496	90.0	0.56285	-0.165981	0.586813	-16.430428	328765.415458
39.0	1.0	0.0	0.0	0.0	-90.0	0.53754	-0.171295	0.564173	-17.675239	0.0	0.014774	0.014774	90.0	0.537858	-0.171521	0.564545	-17.687277	328763.993988
40.0	1.0	0.0	0.0	0.0	-90.0	0.528553	-0.170023	0.555226	-17.831739	0.0	0.018505	0.018505	90.0	0.528553	-0.170023	0.555226	-17.831739	328762.541544
41.0	1.0	0.0	0.0	0.0	-90.0	0.533486	-0.168953	0.5596	-17.572841	0.0	0.014131	0.014131	90.0	0.533486	-0.168953	0.5596	-17.572841	328761.131363
42.0	1.0	0.0	0.0	0.0	-90.0	0.526834	-0.166942	0.552651	-17.58223	0.0	0.019289	0.019289	90.0	0.526834	-0.166942	0.552651	-17.58223	328759.67275
43.0	1.0	0.0	0.0	0.0	-90.0	0.536364	-0.168916	0.562334	-17.480684	0.0	0.018822	0.018822	90.0	0.536364	-0.168916	0.562334	-17.480684	328758.238349
44.0	1.0	0.0	0.0	0.0	-90.0	0.543943	-0.165304	0.568506	-16.903986	0.0	0.014062	0.014062	90.0	0.545036	-0.165875	0.569718	-16.927007	328756.782721
45.0	1.0	0.0	0.0	0.0	-90.0	0.511818	-0.193363	0.547126	-20.696345	0.0	0.022214	0.022214	90.0	0.511818	-0.193363	0.547126	-20.696345	328755.344524
46.0	1.0	0.0	0.0	0.0	-90.0	0.510206	-0.2041	0.549516	-21.803125	0.0	0.019822	0.019822	90.0	0.510206	-0.2041	0.549516	-21.803125	328753.907026
47.0	1.0	0.0	0.0	0.0	-90.0	0.500923	-0.135895	0.519029	-15.178453	0.0	0.016471	0.016471	90.0	0.500923	-0.135895	0.519029	-15.178453	328752.484558
48.0	1.0	0.0	0.0	0.0	-90.0	0.502217	-0.12801	0.518275	-14.299604	0.0	0.015184	0.015184	90.0	0.502217	-0.12801	0.518275	-14.299604	328751.032393
49.0	1.0	0.0	0.0	0.0	-90.0	0.449188	-0.204021	0.49335	-24.427501	0.0	0.028466	0.028466	90.0	0.449188	-0.204021	0.49335	-24.427501	328749.633171
50.0	1.0	0.0	0.0	0.0	-90.0	0.451622	-0.148395	0.475377	-18.189648	0.0	0.015082	0.015082	90.0	0.451622	-0.148395	0.475377	-18.189648	328748.149673
51.0	1.0	0.0	0.0	0.0	-90.0	0.490374	-0.222909	0.53866	-24.445096	0.0	0.022491	0.022491	90.0	0.490374	-0.222909	0.53866	-24.445096	328746.726242
52.0	1.0	0.0	0.0	0.0	-90.0	0.481619	-0.144522	0.502835	-16.703228	0.0	0.016523	0.016523	90.0	0.481619	-0.144522	0.502835	-16.703228	328745.301624
53.0	1.0	0.0	0.0	0.0	-90.0	0.477107	-0.189207	0.513254	-21.631829	0.0	0.020645	0.020645	90.0	0.477707	-0.192348	0.514978	-21.932132	328743.840782
54.0	1.0	0.0	0.0	0.0	-90.0	0.508475	-0.167583	0.535379	-18.24121	0.0	0.016363	0.016363	90.0	0.508475	-0.167583	0.535379	-18.24121	328742.416485
