# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.859315	2.105804	2.274386	67.801121	0.0	2.357413	2.357413	90.0	0.859315	2.105804	2.274386	67.801121	359519.476396
2.0	1.0	0.0	0.0	0.0	-90.0	1.675203	-1.70881	2.392977	-45.568993	0.0	2.790748	2.790748	90.0	1.675203	-1.70881	2.392977	-45.568993	359518.049867
3.0	1.0	0.0	0.0	0.0	-90.0	2.007854	-0.853891	2.181881	-23.038868	0.0	2.903112	2.903112	90.0	2.007854	-0.853891	2.181881	-23.038868	359516.634189
4.0	1.0	0.0	0.0	0.0	-90.0	0.038447	0.002789	0.038548	4.148358	0.0	0.892511	0.892511	90.0	0.028303	-0.047314	0.055133	-59.112285	359515.176829
5.0	1.0	0.0	0.0	0.0	-90.0	0.261433	-0.039645	0.264422	-8.622867	0.0	1.189866	1.189866	90.0	0.261433	-0.039645	0.264422	-8.622867	359513.733645
6.0	1.0	0.0	0.0	0.0	-90.0	1.261408	-0.334508	1.305008	-14.852208	0.0	2.221876	2.221876	90.0	1.261407	-0.334508	1.305008	-14.852208	359512.280462
7.0	1.0	0.0	0.0	0.0	-90.0	0.985465	-0.405617	1.065676	-22.372038	0.0	1.969666	1.969666	90.0	0.985465	-0.405617	1.065676	-22.372038	359510.856599
8.0	1.0	0.0	0.0	0.0	-90.0	0.97807	0.005786	0.978087	0.338929	0.0	1.90573	1.90573	90.0	0.969957	0.028129	0.970365	1.661151	359509.383962
9.0	1.0	0.0	0.0	0.0	-90.0	0.965084	-0.163504	0.978837	-9.615713	0.0	1.93399	1.93399	90.0	0.965084	-0.163504	0.978837	-9.615713	359507.975841
10.0	1.0	0.0	0.0	0.0	-90.0	0.865485	-0.075275	0.868752	-4.970762	0.0	1.837246	1.837246	90.0	0.865485	-0.075275	0.868752	-4.970762	359506.475342
11.0	1.0	0.0	0.0	0.0	-90.0	0.81946	-0.182381	0.83951	-12.547416	0.0	1.815878	1.815878	90.0	0.821671	-0.200208	0.845711	-13.693853	359505.056206
12.0	1.0	0.0	0.0	0.0	-90.0	0.833488	-0.160132	0.848731	-10.875283	0.0	1.839207	1.839207	90.0	0.833488	-0.160132	0.848731	-10.875283	359503.626584
13.0	1.0	0.0	0.0	0.0	-90.0	0.847722	-0.171412	0.864879	-11.431226	0.0	1.860115	1.860115	90.0	0.847722	-0.171412	0.864879	-11.431226	359502.193083
14.0	1.0	0.0	0.0	0.0	-90.0	0.815003	-0.182917	0.835278	-12.64971	0.0	1.839599	1.839599	90.0	0.815003	-0.182917	0.835278	-12.64971	359500.788422
15.0	1.0	0.0	0.0	0.0	-90.0	0.832807	-0.180217	0.852084	-12.210364	0.0	1.860675	1.860675	90.0	0.832807	-0.180217	0.852084	-12.210364	359499.333536
16.0	1.0	0.0	0.0	0.0	-90.0	0.812058	-0.191491	0.834331	-13.26847	0.0	1.857324	1.857324	90.0	0.812058	-0.191491	0.834331	-13.26847	359497.890491
17.0	1.0	0.0	0.0	0.0	-90.0	0.801942	-0.200096	0.826529	-14.010021	0.0	1.852773	1.852773	90.0	0.801942	-0.200096	0.826529	-14.010021	359496.441615
18.0	1.0	0.0	0.0	0.0	-90.0	0.764847	-0.208177	0.792671	-15.22598	0.0	1.842655	1.842655	90.0	0.764847	-0.208177	0.792671	-15.22598	359495.006625
19.0	1.0	0.0	0.0	0.0	-90.0	0.788216	-0.20775	0.815135	-14.765613	0.0	1.859374	1.859374	90.0	0.788216	-0.20775	0.815135	-14.765613	359493.512432
20.0	1.0	0.0	0.0	0.0	-90.0	0.760569	-0.214301	0.790184	-15.735954	0.0	1.860533	1.860533	90.0	0.760569	-0.214301	0.790184	-15.735954	359492.087069
21.0	1.0	0.0	0.0	0.0	-90.0	0.758924	-0.218742	0.789818	-16.078366	0.0	1.875702	1.875702	90.0	0.758924	-0.218742	0.789818	-16.078366	359490.658148
22.0	1.0	0.0	0.0	0.0	-90.0	0.748464	-0.220579	0.78029	-16.420731	0.0	1.867512	1.867512	90.0	0.748464	-0.220579	0.78029	-16.420731	359489.222631
23.0	1.0	0.0	0.0	0.0	-90.0	0.749405	-0.224083	0.78219	-16.647391	0.0	1.866071	1.866071	90.0	0.749405	-0.224083	0.78219	-16.647391	359487.800801
24.0	1.0	0.0	0.0	0.0	-90.0	0.721862	-0.224959	0.756103	-17.30894	0.0	1.846076	1.846076	90.0	0.721862	-0.224959	0.756103	-17.30894	359486.372785
25.0	1.0	0.0	0.0	0.0	-90.0	0.701456	-0.225787	0.736899	-17.842488	0.0	1.873532	1.873532	90.0	0.701456	-0.225787	0.736899	-17.842488	359484.915049
26.0	1.0	0.0	0.0	0.0	-90.0	0.698387	-0.231772	0.735842	-18.359296	0.0	1.857968	1.857968	90.0	0.698387	-0.231772	0.735842	-18.359296	359483.492219
27.0	1.0	0.0	0.0	0.0	-90.0	0.704026	-0.234384	0.742016	-18.413643	0.0	1.877869	1.877869	90.0	0.704026	-0.234384	0.742016	-18.413643	359482.048654
28.0	1.0	0.0	0.0	0.0	-90.0	0.694297	-0.232153	0.732081	-18.488434	0.0	1.876865	1.876865	90.0	0.694191	-0.231959	0.73192	-18.476693	359480.622614
29.0	1.0	0.0	0.0	0.0	-90.0	0.685762	-0.229248	0.723066	-18.484616	0.0	1.863448	1.863448	90.0	0.685762	-0.229248	0.723066	-18.484616	359479.196626
30.0	1.0	0.0	0.0	0.0	-90.0	0.675169	-0.232224	0.713989	-18.980599	0.0	1.865498	1.865498	90.0	0.675169	-0.232224	0.713989	-18.980599	359477.683754
31.0	1.0	0.0	0.0	0.0	-90.0	0.700782	-0.235348	0.739246	-18.563943	0.0	1.873095	1.873095	90.0	0.700782	-0.235348	0.739246	-18.563943	359476.250291
32.0	1.0	0.0	0.0	0.0	-90.0	0.702383	-0.234996	0.740652	-18.498706	0.0	1.872537	1.872537	90.0	0.702383	-0.234996	0.740652	-18.498706	359474.806849
33.0	1.0	0.0	0.0	0.0	-90.0	0.694712	-0.237039	0.734038	-18.839885	0.0	1.879132	1.879132	90.0	0.694712	-0.237039	0.734038	-18.839885	359473.379488
34.0	1.0	0.0	0.0	0.0	-90.0	0.658299	-0.231924	0.697958	-19.40775	0.0	1.870471	1.870471	90.0	0.658299	-0.231924	0.697958	-19.40775	359471.919346
35.0	1.0	0.0	0.0	0.0	-90.0	0.647254	-0.229517	0.686743	-19.524585	0.0	1.868018	1.868018	90.0	0.647254	-0.229517	0.686743	-19.524585	359470.496671
36.0	1.0	0.0	0.0	0.0	-90.0	0.67269	-0.235773	0.712812	-19.315183	0.0	1.872215	1.872215	90.0	0.67269	-0.235773	0.712812	-19.315183	359469.073155
37.0	1.0	0.0	0.0	0.0	-90.0	0.663519	-0.235777	0.704165	-19.562369	0.0	1.881766	1.881766	90.0	0.663519	-0.235777	0.704165	-19.562369	359467.59661
38.0	1.0	0.0	0.0	0.0	-90.0	0.694463	-0.24227	0.735509	-19.231792	0.0	1.894442	1.894442	90.0	0.694463	-0.24227	0.735509	-19.231792	359466.166646
39.0	1.0	0.0	0.0	0.0	-90.0	0.616069	-0.220938	0.654488	-19.729101	0.0	1.877763	1.877763	90.0	0.617178	-0.220911	0.655523	-19.694152	359464.760386
40.0	1.0	0.0	0.0	0.0	-90.0	0.629116	-0.23031	0.669948	-20.106906	0.0	1.88641	1.88641	90.0	0.629116	-0.23031	0.669948	-20.106906	359463.336661
41.0	1.0	0.0	0.0	0.0	-90.0	0.64199	-0.235464	0.683809	-20.141633	0.0	1.884894	1.884894	90.0	0.64199	-0.235464	0.683809	-20.141633	359461.909135
42.0	1.0	0.0	0.0	0.0	-90.0	0.637654	-0.236696	0.680167	-20.364808	0.0	1.885815	1.885815	90.0	0.637654	-0.236696	0.680167	-20.364808	359460.456703
43.0	1.0	0.0	0.0	0.0	-90.0	0.664792	-0.232495	0.704274	-19.276054	0.0	1.888763	1.888763	90.0	0.664792	-0.232495	0.704274	-19.276054	359459.003537
44.0	1.0	0.0	0.0	0.0	-90.0	0.63202	-0.223337	0.67032	-19.461929	0.0	1.878421	1.878421	90.0	0.63202	-0.223337	0.67032	-19.461929	359457.542591
45.0	1.0	0.0	0.0	0.0	-90.0	0.658923	-0.254374	0.706318	-21.108843	0.0	1.891532	1.891532	90.0	0.658923	-0.254374	0.706318	-21.108843	359456.087546
46.0	1.0	0.0	0.0	0.0	-90.0	0.652504	-0.266039	0.704654	-22.181677	0.0	1.887045	1.887045	90.0	0.652504	-0.266039	0.704654	-22.181677	359454.656969
47.0	1.0	0.0	0.0	0.0	-90.0	0.642478	-0.198221	0.672361	-17.146352	0.0	1.901684	1.901684	90.0	0.642478	-0.198221	0.672361	-17.146352	359453.232619
48.0	1.0	0.0	0.0	0.0	-90.0	0.65666	-0.21532	0.691061	-18.154402	0.0	1.894362	1.894362	90.0	0.65666	-0.21532	0.691061	-18.154402	359451.803833
49.0	1.0	0.0	0.0	0.0	-90.0	0.572619	-0.185443	0.601899	-17.944587	0.0	1.896718	1.896718	90.0	0.572619	-0.185443	0.601899	-17.944587	359450.365934
50.0	1.0	0.0	0.0	0.0	-90.0	0.619606	-0.169193	0.642291	-15.273185	0.0	1.875429	1.875429	90.0	0.619854	-0.169381	0.64258	-15.283544	359448.875625
51.0	1.0	0.0	0.0	0.0	-90.0	0.571287	-0.174066	0.597217	-16.945523	0.0	1.901541	1.901541	90.0	0.571287	-0.174066	0.597217	-16.945523	359447.457423
52.0	1.0	0.0	0.0	0.0	-90.0	0.625431	-0.228666	0.665922	-20.083084	0.0	1.88091	1.88091	90.0	0.625947	-0.227346	0.665955	-19.961217	359446.016218
53.0	1.0	0.0	0.0	0.0	-90.0	0.634987	-0.214237	0.670154	-18.643789	0.0	1.881065	1.881065	90.0	0.634987	-0.214237	0.670154	-18.643789	359444.577223
54.0	1.0	0.0	0.0	0.0	-90.0	0.583303	-0.232718	0.628013	-21.750256	0.0	1.895746	1.895746	90.0	0.583303	-0.232718	0.628013	-21.750256	359443.153369
55.0	1.0	0.0	0.0	0.0	-90.0	0.577257	-0.219216	0.61748	-20.794519	0.0	1.895478	1.895478	90.0	0.577257	-0.219216	0.61748	-20.794519	359441.711852
56.0	1.0	0.0	0.0	0.0	-90.0	0.565546	-0.209111	0.602967	-20.291865	0.0	1.893403	1.893403	90.0	0.565546	-0.209111	0.602967	-20.291865	359440.260035
57.0	1.0	0.0	0.0	0.0	-90.0	0.581039	-0.225578	0.623291	-21.21785	0.0	1.893246	1.893246	90.0	0.583806	-0.226676	0.626268	-21.219789	359438.821408
58.0	1.0	0.0	0.0	0.0	-90.0	0.576116	-0.205947	0.61182	-19.670729	0.0	1.886714	1.886714	90.0	0.576116	-0.205947	0.61182	-19.670729	359437.352162
59.0	1.0	0.0	0.0	0.0	-90.0	0.584703	-0.219179	0.624433	-20.548764	0.0	1.887276	1.887276	90.0	0.584703	-0.219179	0.624433	-20.548764	359435.929659
