# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.142497	-0.062649	0.155661	-23.732702	0.0	-0.128505	0.128505	-90.0	0.142497	-0.062649	0.155661	-23.732702	331384.181641
2.0	1.0	0.0	0.0	0.0	-90.0	0.677599	-0.012027	0.677706	-1.016895	0.0	0.747008	0.747008	90.0	0.677599	-0.012027	0.677706	-1.016895	331382.770783
3.0	1.0	0.0	0.0	0.0	-90.0	0.77972	0.279817	0.828409	19.741473	0.0	0.879777	0.879777	90.0	0.77972	0.279817	0.828409	19.741473	331381.35811
4.0	1.0	0.0	0.0	0.0	-90.0	0.756753	0.27016	0.803531	19.64653	0.0	-0.61638	0.61638	-90.0	0.756753	0.27016	0.803531	19.64653	331379.865133
5.0	1.0	0.0	0.0	0.0	-90.0	0.765749	0.184945	0.787766	13.578117	0.0	-0.45049	0.45049	-90.0	0.765749	0.184945	0.787766	13.578117	331378.427349
6.0	1.0	0.0	0.0	0.0	-90.0	0.776704	0.146007	0.790308	10.646376	0.0	0.364475	0.364475	90.0	0.776704	0.146007	0.790308	10.646376	331376.975003
7.0	1.0	0.0	0.0	0.0	-90.0	0.772305	0.127847	0.782815	9.399492	0.0	0.205613	0.205613	90.0	0.77045	0.127833	0.780983	9.420703	331375.544254
8.0	1.0	0.0	0.0	0.0	-90.0	0.779489	0.110463	0.787277	8.065774	0.0	-0.075059	0.075059	-90.0	0.779489	0.110463	0.787277	8.065774	331374.087323
9.0	1.0	0.0	0.0	0.0	-90.0	0.782909	0.095188	0.788675	6.932169	0.0	0.004883	0.004883	90.0	0.782909	0.095188	0.788675	6.932169	331372.630395
10.0	1.0	0.0	0.0	0.0	-90.0	0.785757	0.08321	0.790151	6.045006	0.0	-0.027694	0.027694	-90.0	0.785881	0.083058	0.790258	6.033087	331371.174216
11.0	1.0	0.0	0.0	0.0	-90.0	0.787565	0.073442	0.790982	5.327515	0.0	0.000124	0.000124	90.0	0.787565	0.073442	0.790982	5.327515	331369.758518
12.0	1.0	0.0	0.0	0.0	-90.0	0.788799	0.064884	0.791463	4.70238	0.0	-0.009026	0.009026	-90.0	0.788799	0.064884	0.791463	4.70238	331368.349328
13.0	1.0	0.0	0.0	0.0	-90.0	0.789189	0.057779	0.791302	4.187355	0.0	0.006767	0.006767	90.0	0.789174	0.057821	0.791289	4.190425	331366.882527
14.0	1.0	0.0	0.0	0.0	-90.0	0.789352	0.051282	0.791016	3.717131	0.0	-0.001026	0.001026	-90.0	0.789352	0.051282	0.791016	3.717131	331365.433755
15.0	1.0	0.0	0.0	0.0	-90.0	0.789333	0.04588	0.790665	3.32656	0.0	0.002892	0.002892	90.0	0.789333	0.04588	0.790665	3.32656	331363.983234
16.0	1.0	0.0	0.0	0.0	-90.0	0.7888	0.040663	0.789847	2.950978	0.0	0.00256	0.00256	90.0	0.7888	0.040663	0.789847	2.950978	331362.552596
17.0	1.0	0.0	0.0	0.0	-90.0	0.788311	0.036748	0.789168	2.668949	0.0	0.000943	0.000943	90.0	0.788311	0.036748	0.789168	2.668949	331361.07846
18.0	1.0	0.0	0.0	0.0	-90.0	0.78809	0.032589	0.788763	2.367965	0.0	0.001416	0.001416	90.0	0.78809	0.032589	0.788763	2.367966	331359.655255
19.0	1.0	0.0	0.0	0.0	-90.0	0.787803	0.029399	0.788351	2.137153	0.0	0.004247	0.004247	90.0	0.787804	0.029424	0.788354	2.138986	331358.19797
20.0	1.0	0.0	0.0	0.0	-90.0	0.787266	0.026271	0.787704	1.911242	0.0	0.006431	0.006431	90.0	0.787266	0.026271	0.787704	1.911242	331356.746925
21.0	1.0	0.0	0.0	0.0	-90.0	0.786726	0.023569	0.787079	1.71597	0.0	-0.002485	0.002485	-90.0	0.786719	0.023568	0.787072	1.71594	331355.315774
22.0	1.0	0.0	0.0	0.0	-90.0	0.786195	0.021081	0.786478	1.535941	0.0	0.00187	0.00187	90.0	0.786195	0.021081	0.786478	1.535941	331353.88094
23.0	1.0	0.0	0.0	0.0	-90.0	0.785543	0.018823	0.785769	1.37268	0.0	0.001815	0.001815	90.0	0.785543	0.018823	0.785769	1.37268	331352.474813
24.0	1.0	0.0	0.0	0.0	-90.0	0.785012	0.01667	0.785189	1.21652	0.0	0.000499	0.000499	90.0	0.785023	0.016668	0.7852	1.216337	331351.036604
25.0	1.0	0.0	0.0	0.0	-90.0	0.78426	0.014635	0.784397	1.06906	0.0	0.004788	0.004788	90.0	0.78426	0.014635	0.784397	1.06906	331349.595908
26.0	1.0	0.0	0.0	0.0	-90.0	0.783985	0.012887	0.784091	0.941713	0.0	-0.001381	0.001381	-90.0	0.783985	0.012887	0.784091	0.941713	331348.155236
27.0	1.0	0.0	0.0	0.0	-90.0	0.783376	0.011159	0.783455	0.816145	0.0	0.006924	0.006924	90.0	0.783376	0.011159	0.783455	0.816145	331346.724387
28.0	1.0	0.0	0.0	0.0	-90.0	0.782871	0.009766	0.782932	0.714731	0.0	0.003007	0.003007	90.0	0.782871	0.009766	0.782932	0.714731	331345.291434
29.0	1.0	0.0	0.0	0.0	-90.0	0.782298	0.008483	0.782344	0.621273	0.0	0.000161	0.000161	90.0	0.782312	0.008463	0.782358	0.619781	331343.84522
30.0	1.0	0.0	0.0	0.0	-90.0	0.781716	0.007058	0.781748	0.517323	0.0	0.000651	0.000651	90.0	0.781738	0.007058	0.78177	0.517271	331342.369961
31.0	1.0	0.0	0.0	0.0	-90.0	0.781334	0.005835	0.781356	0.427875	0.0	0.002373	0.002373	90.0	0.781334	0.005835	0.781356	0.427875	331340.943727
32.0	1.0	0.0	0.0	0.0	-90.0	0.780661	0.004504	0.780674	0.330547	0.0	-0.002667	0.002667	-90.0	0.780661	0.004504	0.780674	0.330547	331339.496464
33.0	1.0	0.0	0.0	0.0	-90.0	0.780173	0.003482	0.780181	0.255741	0.0	0.005458	0.005458	90.0	0.780173	0.003482	0.780181	0.255741	331338.055763
34.0	1.0	0.0	0.0	0.0	-90.0	0.77978	0.002525	0.779785	0.185561	0.0	0.001241	0.001241	90.0	0.779713	0.002509	0.779717	0.184393	331336.601826
35.0	1.0	0.0	0.0	0.0	-90.0	0.779273	0.001414	0.779274	0.103976	0.0	0.001785	0.001785	90.0	0.779273	0.001414	0.779274	0.103976	331335.164359
36.0	1.0	0.0	0.0	0.0	-90.0	0.778777	0.000734	0.778777	0.053981	0.0	0.001839	0.001839	90.0	0.778807	0.000922	0.778808	0.06782	331333.726051
37.0	1.0	0.0	0.0	0.0	-90.0	0.77777	-0.000114	0.77777	-0.008363	0.0	0.001591	0.001591	90.0	0.77777	-0.000114	0.77777	-0.008363	331332.310721
38.0	1.0	0.0	0.0	0.0	-90.0	0.778301	-0.001192	0.778302	-0.087784	0.0	0.001961	0.001961	90.0	0.778301	-0.001192	0.778302	-0.087784	331330.865959
39.0	1.0	0.0	0.0	0.0	-90.0	0.777066	-0.003023	0.777072	-0.222894	0.0	0.001767	0.001767	90.0	0.777066	-0.003023	0.777072	-0.222894	331329.429666
40.0	1.0	0.0	0.0	0.0	-90.0	0.777357	-0.000508	0.777357	-0.037465	0.0	0.001635	0.001635	90.0	0.778186	-5.5e-05	0.778186	-0.004022	331328.003546
