# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.019577	0.363981	0.364507	86.921307	0.0	-0.370816	0.370816	-90.0	0.019577	0.363981	0.364507	86.921307	330458.903996
2.0	1.0	0.0	0.0	0.0	-90.0	0.517338	-0.044678	0.519264	-4.935855	0.0	-0.567324	0.567324	-90.0	0.517338	-0.044678	0.519264	-4.935855	330457.459839
3.0	1.0	0.0	0.0	0.0	-90.0	0.690429	0.117082	0.700286	9.624612	0.0	-0.793216	0.793216	-90.0	0.690429	0.117082	0.700286	9.624612	330456.048756
4.0	1.0	0.0	0.0	0.0	-90.0	0.631075	0.138774	0.646154	12.40204	0.0	0.609796	0.609796	90.0	0.631075	0.138774	0.646154	12.40204	330454.616491
5.0	1.0	0.0	0.0	0.0	-90.0	0.622492	0.151568	0.640679	13.684383	0.0	0.315471	0.315471	90.0	0.622492	0.151568	0.640679	13.684383	330453.17025
6.0	1.0	0.0	0.0	0.0	-90.0	0.629121	0.125065	0.641431	11.24341	0.0	0.284272	0.284272	90.0	0.627723	0.121671	0.639406	10.969538	330451.625208
7.0	1.0	0.0	0.0	0.0	-90.0	0.641908	0.109162	0.651124	9.651286	0.0	0.053414	0.053414	90.0	0.641908	0.109162	0.651124	9.651287	330450.184216
8.0	1.0	0.0	0.0	0.0	-90.0	0.648092	0.093353	0.654781	8.196624	0.0	0.047695	0.047695	90.0	0.648818	0.093677	0.655545	8.215657	330448.7493
9.0	1.0	0.0	0.0	0.0	-90.0	0.65153	0.081214	0.656572	7.105325	0.0	0.09404	0.09404	90.0	0.65153	0.081214	0.656572	7.105325	330447.287369
10.0	1.0	0.0	0.0	0.0	-90.0	0.654344	0.070874	0.658171	6.181768	0.0	0.037547	0.037547	90.0	0.654344	0.070874	0.658171	6.181768	330445.846009
11.0	1.0	0.0	0.0	0.0	-90.0	0.655487	0.062411	0.658452	5.438888	0.0	-0.022621	0.022621	-90.0	0.655487	0.062411	0.658452	5.438888	330444.417677
12.0	1.0	0.0	0.0	0.0	-90.0	0.656298	0.055458	0.658637	4.830094	0.0	-0.001112	0.001112	-90.0	0.656298	0.055458	0.658637	4.830094	330442.971051
13.0	1.0	0.0	0.0	0.0	-90.0	0.656733	0.049282	0.65858	4.291469	0.0	-0.014065	0.014065	-90.0	0.656733	0.049282	0.65858	4.291469	330441.497606
14.0	1.0	0.0	0.0	0.0	-90.0	0.657021	0.04396	0.65849	3.827806	0.0	0.003337	0.003337	90.0	0.657021	0.04396	0.65849	3.827806	330440.075373
15.0	1.0	0.0	0.0	0.0	-90.0	0.657052	0.039291	0.658225	3.422177	0.0	0.002047	0.002047	90.0	0.657052	0.039291	0.658225	3.422177	330438.608878
16.0	1.0	0.0	0.0	0.0	-90.0	0.656672	0.035561	0.657634	3.099726	0.0	0.003419	0.003419	90.0	0.656672	0.035561	0.657634	3.099726	330437.173863
17.0	1.0	0.0	0.0	0.0	-90.0	0.65673	0.032059	0.657512	2.794734	0.0	0.000857	0.000857	90.0	0.656723	0.032066	0.657505	2.795404	330435.685163
