# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-121.968439	0.0	-2.898002	2.898002	-90.0	-1.456664	-2.354394	2.768581	-121.745098	10780.012175
2.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	124.011298	0.0	-2.906486	2.906486	-90.0	-1.281423	2.085075	2.447362	121.573604	10778.569327
3.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	168.977293	0.0	-2.806924	2.806924	-90.0	-1.804558	0.372716	1.842647	168.330142	10777.122042
4.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	40.345894	0.0	-3.375534	3.375534	-90.0	1.535862	1.109476	1.894679	35.843579	10775.661718
5.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	48.561364	0.0	-3.280454	3.280454	-90.0	0.978583	0.828266	1.282049	40.244371	10774.218416
6.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-179.058696	0.0	-3.033503	3.033503	-90.0	-0.53917	0.008877	0.539244	179.056742	10772.782335
7.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	149.465474	0.0	-3.095296	3.095296	-90.0	-0.192266	0.189243	0.269776	135.454004	10771.328694
8.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-137.189941	0.0	-3.146804	3.146804	-90.0	0.109498	-0.316533	0.334937	-70.917904	10769.890051
9.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	122.628386	0.0	-3.156772	3.156772	-90.0	0.187079	0.116921	0.22061	32.004756	10768.453569
10.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	115.04063	0.0	-3.163161	3.163161	-90.0	0.18492	0.042481	0.189737	12.937874	10767.034072
11.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	2.78863	0.0	-3.17328	3.17328	-90.0	0.297436	0.011555	0.29766	2.224791	10765.56953
12.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	123.13825	0.0	-3.170043	3.170043	-90.0	0.269841	-0.023522	0.270865	-4.981965	10764.128802
13.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-15.790281	0.0	-3.175269	3.175269	-90.0	0.276769	-0.040383	0.279699	-8.301298	10762.690089
14.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-75.648834	0.0	-3.175524	3.175524	-90.0	0.256852	-0.044796	0.260729	-9.893077	10761.218576
15.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	126.770547	0.0	-3.176862	3.176862	-90.0	0.254906	-0.040401	0.258087	-9.006099	10759.753591
16.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	162.884023	0.0	-3.169501	3.169501	-90.0	0.236505	-0.040061	0.239874	-9.613996	10758.316975
17.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	1.382275	0.0	-3.173001	3.173001	-90.0	0.245218	-0.043106	0.248978	-9.969993	10756.877876
18.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-75.412412	0.0	-3.174948	3.174948	-90.0	0.246232	-0.048692	0.251	-11.185797	10755.432536
19.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	8.114435	0.0	-3.179694	3.179694	-90.0	0.244964	-0.049719	0.249958	-11.473169	10753.992589
20.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-3.344195	0.0	-3.18396	3.18396	-90.0	0.244802	-0.050652	0.249987	-11.690092	10752.578122
21.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-93.37285	0.0	-3.182457	3.182457	-90.0	0.240722	-0.052687	0.246421	-12.345655	10751.132647
