# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	179.114029	0.0	-1.453291	1.453291	-90.0	-1.389636	0.002124	1.389637	179.912416	13296.272932
2.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	72.277515	0.0	-2.642843	2.642843	-90.0	0.898181	2.091521	2.276223	66.759421	13294.794201
3.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	128.906857	0.0	-1.970124	1.970124	-90.0	-0.546541	1.081502	1.211756	116.809921	13293.353421
4.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-1.953375	0.0	-2.967543	2.967543	-90.0	1.842073	-0.14236	1.847566	-4.419165	13291.875385
5.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-29.15163	0.0	-2.754951	2.754951	-90.0	1.282103	-0.460915	1.362436	-19.773487	13290.445038
6.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	132.156784	0.0	-2.261139	2.261139	-90.0	0.123634	0.412071	0.430218	73.2991	13288.998652
7.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	63.280471	0.0	-2.465652	2.465652	-90.0	0.607289	0.317345	0.685206	27.589788	13287.57571
8.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-150.061268	0.0	-2.378043	2.378043	-90.0	0.276185	-0.170514	0.324582	-31.690791	13286.113559
9.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	132.880441	0.0	-2.4041	2.4041	-90.0	0.364744	0.029428	0.365929	4.612714	13284.653782
10.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-56.871369	0.0	-2.45748	2.45748	-90.0	0.451596	-0.158486	0.478599	-19.338321	13283.206513
