# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-106.079295	0.0	2.881958	2.881958	90.0	0.785599	2.656574	2.770298	73.526053	2908.039697
2.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	148.52876	0.0	3.415343	3.415343	90.0	2.531814	-1.429164	2.907334	-29.443961	2906.574993
3.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-179.003146	0.0	3.359133	3.359133	90.0	2.48016	0.144163	2.484347	3.326656	2905.144204
4.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	15.520906	0.0	2.122494	2.122494	90.0	-0.710803	-0.395229	0.813294	-150.924569	2903.712008
5.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-5.066699	0.0	2.263728	2.263728	90.0	-0.40163	0.00242	0.401637	179.65484	2902.275868
6.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	146.264923	0.0	2.87273	2.87273	90.0	1.064155	-0.403802	1.138193	-20.779651	2900.831155
7.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-177.898368	0.0	2.812533	2.812533	90.0	0.939282	-0.042354	0.940236	-2.581813	2899.35977
8.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-148.182912	0.0	2.721877	2.721877	90.0	0.723754	0.084443	0.728663	6.65485	2897.940556
9.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	114.677363	0.0	2.683139	2.683139	90.0	0.577798	-0.198834	0.611053	-18.989561	2896.501972
10.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-141.507486	0.0	2.680471	2.680471	90.0	0.582228	-0.003036	0.582236	-0.298739	2895.052595
11.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-6.853258	0.0	2.639447	2.639447	90.0	0.453809	-0.098029	0.464276	-12.189371	2893.624095
12.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-47.818065	0.0	2.655729	2.655729	90.0	0.485138	-0.074571	0.490835	-8.738566	2892.179929
13.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-111.790554	0.0	2.67137	2.67137	90.0	0.52296	-0.080298	0.529089	-8.729274	2890.738133
