# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	116.730407	0.0	-0.633691	0.633691	-90.0	-0.221398	0.572607	0.613918	111.138976	13675.093506
2.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	18.846465	0.0	-1.796484	1.796484	-90.0	1.52009	0.383659	1.567759	14.16518	13673.607148
3.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	60.599982	0.0	-1.336265	1.336265	-90.0	0.794302	0.704273	1.061563	41.562015	13672.16893
4.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-90.099898	0.0	-1.072862	1.072862	-90.0	0.418035	-0.546291	0.687886	-52.57594	13670.706733
5.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-85.437614	0.0	-1.111395	1.111395	-90.0	0.487405	-0.40907	0.636319	-40.00612	13669.275521
6.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	108.252042	0.0	-0.91683	0.91683	-90.0	0.315824	0.202109	0.374957	32.616917	13667.810524
7.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	34.36587	0.0	-1.141551	1.141551	-90.0	0.567954	0.066028	0.571779	6.631163	13666.36561
8.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-167.373121	0.0	-0.953259	0.953259	-90.0	0.325182	-0.051457	0.329228	-8.991994	13664.922814
9.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	154.711245	0.0	-1.004091	1.004091	-90.0	0.382371	-0.034051	0.383885	-5.088959	13663.444242
10.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-103.247095	0.0	-1.05036	1.05036	-90.0	0.423301	-0.10561	0.436276	-14.008787	13662.01009
11.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	133.552461	0.0	-1.039843	1.039843	-90.0	0.409694	-0.073305	0.4162	-10.144437	13660.534378
12.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-111.381982	0.0	-1.052724	1.052724	-90.0	0.419067	-0.083605	0.427325	-11.282532	13659.094782
13.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	33.677008	0.0	-1.058324	1.058324	-90.0	0.42413	-0.066999	0.42939	-8.976759	13657.658498
14.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	168.787821	0.0	-1.055769	1.055769	-90.0	0.416827	-0.067928	0.422326	-9.255774	13656.22502
15.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	20.619015	0.0	-1.055185	1.055185	-90.0	0.411643	-0.069226	0.417424	-9.546118	13654.752866
16.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-92.242341	0.0	-1.056212	1.056212	-90.0	0.409888	-0.071331	0.416048	-9.872021	13653.318098
17.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-4.031589	0.0	-1.05589	1.05589	-90.0	0.405112	-0.071454	0.411365	-10.003004	13651.878033
18.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-114.543505	0.0	-1.055879	1.055879	-90.0	0.40273	-0.073022	0.409296	-10.277047	13650.377536
