# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-54.070134	0.0	-3.125142	3.125142	-90.0	1.80327	-2.385622	2.99048	-52.91469	20769.437014
2.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-151.026801	0.0	-1.808092	1.808092	-90.0	-1.237308	-0.843594	1.497525	-145.713919	20767.965505
3.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-134.516226	0.0	-2.102091	2.102091	-90.0	-0.67557	-1.170266	1.351265	-119.996936	20766.556266
4.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	60.271661	0.0	-2.741116	2.741116	-90.0	1.132626	1.193951	1.64571	46.509889	20765.119946
5.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	30.694909	0.0	-2.814504	2.814504	-90.0	1.286113	0.409427	1.34971	17.658585	20763.670564
6.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-170.355265	0.0	-2.318274	2.318274	-90.0	-0.073803	-0.181589	0.196013	-112.118194	20762.238149
7.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	156.026746	0.0	-2.378663	2.378663	-90.0	0.129522	0.119276	0.176076	42.641569	20760.787265
8.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	37.114326	0.0	-2.57994	2.57994	-90.0	0.654376	0.113376	0.664125	9.829376	20759.318948
9.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-61.176926	0.0	-2.535215	2.535215	-90.0	0.523885	-0.202179	0.561544	-21.102751	20757.857889
10.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-10.680283	0.0	-2.530217	2.530217	-90.0	0.532662	-0.106012	0.543109	-11.256128	20756.415725
11.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-117.723708	0.0	-2.515102	2.515102	-90.0	0.418846	-0.141312	0.442041	-18.643579	20754.979273
12.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-153.268947	0.0	-2.538269	2.538269	-90.0	0.438892	-0.091773	0.448384	-11.810417	20753.548134
13.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	29.894319	0.0	-2.540657	2.540657	-90.0	0.454295	-0.122679	0.470568	-15.111875	20752.11936
14.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-174.157074	0.0	-2.519139	2.519139	-90.0	0.425783	-0.121708	0.442836	-15.952264	20750.662106
15.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	55.860028	0.0	-2.514875	2.514875	-90.0	0.417762	-0.105311	0.430831	-14.148606	20749.210437
16.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	171.595535	0.0	-2.520013	2.520013	-90.0	0.415158	-0.118581	0.431761	-15.940816	20747.760018
17.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-25.042033	0.0	-2.500992	2.500992	-90.0	0.395818	-0.11971	0.413524	-16.827321	20746.317007
18.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	83.875723	0.0	-2.512144	2.512144	-90.0	0.397094	-0.12142	0.415242	-17.002151	20744.873084
19.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-139.935133	0.0	-2.493712	2.493712	-90.0	0.384448	-0.119576	0.402615	-17.277473	20743.456886
20.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-78.751749	0.0	-2.514814	2.514814	-90.0	0.386485	-0.118534	0.404254	-17.050678	20741.996047
21.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-143.096103	0.0	-2.518307	2.518307	-90.0	0.383185	-0.119592	0.401414	-17.33312	20740.536959
22.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	158.664766	0.0	-2.525256	2.525256	-90.0	0.380703	-0.12344	0.400216	-17.964864	20739.106775
