# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	113.551853	0.0	-1.006389	1.006389	-90.0	-0.379868	0.888279	0.966095	113.153741	22273.913174
2.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-8.763763	0.0	-1.560649	1.560649	-90.0	1.3153	-0.194745	1.329639	-8.422118	22272.466924
3.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	28.057581	0.0	-1.442445	1.442445	-90.0	0.939385	0.448727	1.041057	25.53297	22271.032975
4.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-146.595738	0.0	-1.030013	1.030013	-90.0	-0.27914	-0.346191	0.444711	-128.87987	22269.595918
5.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-169.028176	0.0	-1.053898	1.053898	-90.0	-0.218645	-0.146957	0.263442	-146.093903	22268.191864
6.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-24.525241	0.0	-1.296749	1.296749	-90.0	0.46828	-0.158984	0.494532	-18.752669	22266.723296
7.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-121.056887	0.0	-1.176784	1.176784	-90.0	0.103983	-0.191779	0.218155	-61.533329	22265.305873
8.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-89.819834	0.0	-1.219369	1.219369	-90.0	0.229941	-0.148426	0.273684	-32.842116	22263.883764
9.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-167.200907	0.0	-1.183594	1.183594	-90.0	0.141583	-0.019616	0.142936	-7.888021	22262.448935
10.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-103.457991	0.0	-1.205412	1.205412	-90.0	0.18496	-0.06976	0.197679	-20.664504	22260.994239
11.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	102.655062	0.0	-1.205511	1.205511	-90.0	0.189287	-0.013482	0.189766	-4.07406	22259.560504
12.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-146.006211	0.0	-1.205654	1.205654	-90.0	0.186236	-0.034583	0.18942	-10.519641	22258.087693
13.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-23.779116	0.0	-1.207291	1.207291	-90.0	0.190238	-0.02663	0.192093	-7.968531	22256.645418
14.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	46.60019	0.0	-1.207815	1.207815	-90.0	0.181623	-0.031293	0.184299	-9.775842	22255.211545
15.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	61.980023	0.0	-1.206847	1.206847	-90.0	0.182568	-0.032694	0.185473	-10.152662	22253.759685
16.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	164.626176	0.0	-1.207786	1.207786	-90.0	0.17862	-0.032064	0.181475	-10.176715	22252.325336
17.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	142.357573	0.0	-1.207811	1.207811	-90.0	0.178675	-0.031326	0.1814	-9.944216	22250.920707
18.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	12.248195	0.0	-1.206927	1.206927	-90.0	0.177122	-0.031291	0.179865	-10.018599	22249.460139
19.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-144.719108	0.0	-1.21085	1.21085	-90.0	0.175484	-0.0316	0.178306	-10.208114	22248.048235
20.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	164.465674	0.0	-1.206401	1.206401	-90.0	0.174457	-0.030661	0.177131	-9.967903	22246.608086
21.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	26.502012	0.0	-1.207116	1.207116	-90.0	0.173545	-0.031019	0.176296	-10.134022	22245.151401
22.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	4.874895	0.0	-1.206569	1.206569	-90.0	0.171654	-0.031424	0.174507	-10.373944	22243.685173
23.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-82.936327	0.0	-1.20791	1.20791	-90.0	0.169595	-0.030551	0.172325	-10.211751	22242.236621
24.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-137.388193	0.0	-1.207344	1.207344	-90.0	0.169809	-0.028047	0.172109	-9.378867	22240.819133
25.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-58.523757	0.0	-1.211425	1.211425	-90.0	0.170161	-0.031793	0.173106	-10.583186	22239.377834
26.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-53.843435	0.0	-1.208468	1.208468	-90.0	0.167138	-0.027933	0.169456	-9.48797	22237.951152
27.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-160.512997	0.0	-1.21127	1.21127	-90.0	0.166893	-0.030763	0.169705	-10.444101	22236.501184
