# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-151.337084	0.0	-0.117439	0.117439	-90.0	-0.079885	-0.077514	0.111311	-135.862998	21150.475722
2.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	95.24237	0.0	-0.665557	0.665557	-90.0	0.123132	0.587369	0.600136	78.160368	21149.068546
3.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	122.575738	0.0	-0.453993	0.453993	-90.0	0.02712	0.324069	0.325202	85.216301	21147.613863
4.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-47.844043	0.0	-1.049842	1.049842	-90.0	0.635362	-0.334827	0.718188	-27.788624	21146.170439
5.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-94.099061	0.0	-0.751602	0.751602	-90.0	0.341042	-0.288297	0.446571	-40.209237	21144.772595
6.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	126.932624	0.0	-0.643206	0.643206	-90.0	0.255115	0.113304	0.279144	23.947353	21143.276072
7.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	15.737156	0.0	-0.872444	0.872444	-90.0	0.4793	-0.012953	0.479475	-1.548091	21141.869773
8.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	122.715695	0.0	-0.724205	0.724205	-90.0	0.298266	0.008474	0.298387	1.627335	21140.408239
9.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	22.658676	0.0	-0.822242	0.822242	-90.0	0.415654	-0.013676	0.415879	-1.884462	21138.988062
10.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-22.654497	0.0	-0.798241	0.798241	-90.0	0.382606	-0.030117	0.38379	-4.500804	21137.549898
11.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-140.099417	0.0	-0.763738	0.763738	-90.0	0.337728	-0.05135	0.34161	-8.645295	21136.123137
12.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	142.757649	0.0	-0.772744	0.772744	-90.0	0.344652	-0.037981	0.346739	-6.288639	21134.696439
13.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-160.545746	0.0	-0.778568	0.778568	-90.0	0.345049	-0.051548	0.348879	-8.496749	21133.261069
14.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	115.720531	0.0	-0.775089	0.775089	-90.0	0.339965	-0.043796	0.342775	-7.340618	21131.832575
15.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-10.606068	0.0	-0.778398	0.778398	-90.0	0.338557	-0.045773	0.341637	-7.699755	21130.416229
16.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-149.802866	0.0	-0.776455	0.776455	-90.0	0.335818	-0.043484	0.338621	-7.37792	21128.978875
17.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-111.633792	0.0	-0.778943	0.778943	-90.0	0.334266	-0.04729	0.337594	-8.05244	21127.553461
18.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-135.036992	0.0	-0.77968	0.77968	-90.0	0.332947	-0.046192	0.336136	-7.898607	21126.131145
19.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-1.339917	0.0	-0.77983	0.77983	-90.0	0.330264	-0.045729	0.333415	-7.883165	21124.70891
20.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	134.674345	0.0	-0.780709	0.780709	-90.0	0.328723	-0.04543	0.331847	-7.868552	21123.269322
21.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-54.67767	0.0	-0.780561	0.780561	-90.0	0.326782	-0.045536	0.329939	-7.932883	21121.823467
22.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	102.360227	0.0	-0.78106	0.78106	-90.0	0.324707	-0.045406	0.327867	-7.960457	21120.402881
23.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-97.971466	0.0	-0.779315	0.779315	-90.0	0.323992	-0.043644	0.326919	-7.671867	21118.945534
24.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	117.060567	0.0	-0.786523	0.786523	-90.0	0.324151	-0.044961	0.327254	-7.896818	21117.518514
25.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-115.88107	0.0	-0.781114	0.781114	-90.0	0.31809	-0.045402	0.321313	-8.123207	21116.062307
26.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-23.396445	0.0	-0.784498	0.784498	-90.0	0.322242	-0.044524	0.325303	-7.866735	21114.627868
27.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	102.057616	0.0	-0.781477	0.781477	-90.0	0.318573	-0.042919	0.321451	-7.672817	21113.201618
28.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-102.579964	0.0	-0.782814	0.782814	-90.0	0.316761	-0.043634	0.319752	-7.843253	21111.762742
29.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	157.472059	0.0	-0.783092	0.783092	-90.0	0.316071	-0.043584	0.319062	-7.851273	21110.325283
30.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	56.305167	0.0	-0.783182	0.783182	-90.0	0.315447	-0.0435	0.318433	-7.851549	21108.895
31.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-0.531588	0.0	-0.784049	0.784049	-90.0	0.314442	-0.043433	0.317427	-7.86427	21107.455551
32.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-87.189159	0.0	-0.783644	0.783644	-90.0	0.313478	-0.043191	0.316439	-7.844905	21106.038016
33.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	56.487783	0.0	-0.783776	0.783776	-90.0	0.312493	-0.043013	0.315439	-7.837145	21104.576823
