# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-107.592635	0.0	1.98096	1.98096	90.0	0.578243	1.810727	1.900815	72.289491	17444.491014
2.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	158.800658	0.0	2.116827	2.116827	90.0	1.664852	-0.663798	1.792306	-21.737815	17443.030778
3.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-159.477579	0.0	2.090271	2.090271	90.0	1.367336	0.504298	1.457369	20.244877	17441.572601
4.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	38.290697	0.0	1.736837	1.736837	90.0	-0.597668	-0.565868	0.823051	-136.565547	17440.150662
5.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-4.737123	0.0	1.759081	1.759081	90.0	-0.541934	-0.218747	0.584417	-158.018986	17438.706159
6.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	98.063439	0.0	1.89611	1.89611	90.0	0.252635	-0.4733	0.536505	-61.907879	17437.301651
7.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-20.120334	0.0	1.830027	1.830027	90.0	-0.102017	0.11115	0.15087	132.546662	17435.885105
8.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	111.164958	0.0	1.892246	1.892246	90.0	0.235435	-0.175228	0.293487	-36.659356	17434.432585
9.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-6.177045	0.0	1.858477	1.858477	90.0	0.055944	0.03411	0.065523	31.37104	17433.003097
10.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	93.111188	0.0	1.874627	1.874627	90.0	0.145443	-0.012974	0.14602	-5.097614	17431.577261
11.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-76.558531	0.0	1.874222	1.874222	90.0	0.149095	0.045452	0.155869	16.953919	17430.120431
12.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	27.702827	0.0	1.876762	1.876762	90.0	0.161217	0.005336	0.161305	1.895844	17428.668999
13.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	4.093537	0.0	1.877107	1.877107	90.0	0.16455	-0.02507	0.166448	-8.662764	17427.228978
