# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-179.549756	0.0	-1.439345	1.439345	-90.0	-1.373659	-0.015168	1.373743	-179.367372	97442.703823
2.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	61.074755	0.0	-2.799067	2.799067	-90.0	1.36409	1.981205	2.405393	55.451989	97441.237712
3.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	113.036823	0.0	-2.065933	2.065933	-90.0	-0.366434	1.349603	1.398464	105.190299	97439.795727
4.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-31.776036	0.0	-2.892836	2.892836	-90.0	1.543797	-0.748817	1.71582	-25.875651	97438.328671
5.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-25.168912	0.0	-2.810755	2.810755	-90.0	1.37484	-0.476124	1.45495	-19.101583	97436.889872
6.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	122.279195	0.0	-2.281725	2.281725	-90.0	0.174703	0.418911	0.45388	67.361858	97435.44222
7.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	74.126835	0.0	-2.389497	2.389497	-90.0	0.468774	0.336331	0.576947	35.65827	97434.0056
8.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-120.363394	0.0	-2.396485	2.396485	-90.0	0.362932	-0.281898	0.459549	-37.837351	97432.54028
9.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-161.169587	0.0	-2.396993	2.396993	-90.0	0.352347	-0.125017	0.373868	-19.535337	97431.08303
10.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-74.410656	0.0	-2.443761	2.443761	-90.0	0.462251	-0.178518	0.495525	-21.116157	97429.630688
11.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	77.041908	0.0	-2.434165	2.434165	-90.0	0.459052	-0.041799	0.460951	-5.202709	97428.194317
12.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-41.663644	0.0	-2.461194	2.461194	-90.0	0.479098	-0.103807	0.490215	-12.225365	97426.787969
13.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	167.920252	0.0	-2.455917	2.455917	-90.0	0.434691	-0.106057	0.447442	-13.711261	97425.322564
14.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	26.060132	0.0	-2.454697	2.454697	-90.0	0.42481	-0.101868	0.436853	-13.484718	97423.894441
15.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	99.575324	0.0	-2.4606	2.4606	-90.0	0.426135	-0.112154	0.440647	-14.745182	97422.453747
