# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	56.423571	0.0	2.281704	2.281704	90.0	-1.131457	-1.879133	2.193476	-121.052842	92085.828444
2.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-52.373528	0.0	2.261837	2.261837	90.0	-1.110975	1.54152	1.900144	125.780327	92084.397693
3.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	7.634332	0.0	2.216646	2.216646	90.0	-1.425895	-0.313391	1.459928	-167.604302	92082.919375
4.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-158.637645	0.0	2.746727	2.746727	90.0	1.512813	0.458911	1.580887	16.875135	92081.489237
5.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	171.426407	0.0	2.706508	2.706508	90.0	1.226689	-0.183933	1.240402	-8.527572	92080.065467
6.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-53.301751	0.0	2.445047	2.445047	90.0	-0.235767	0.551408	0.599697	113.150224	92078.64534
7.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	177.004096	0.0	2.599573	2.599573	90.0	0.588445	0.017147	0.588695	1.669137	92077.220664
8.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-94.788388	0.0	2.536548	2.536548	90.0	0.242534	0.163125	0.292289	33.92426	92075.774665
9.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	138.573128	0.0	2.563903	2.563903	90.0	0.333287	-0.143163	0.362734	-23.245904	92074.347444
10.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	96.985047	0.0	2.53786	2.53786	90.0	0.174611	-0.143464	0.225989	-39.407125	92072.94258
11.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-133.186148	0.0	2.538627	2.538627	90.0	0.198379	-0.022423	0.199642	-6.448711	92071.49952
12.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	5.729207	0.0	2.53867	2.53867	90.0	0.145089	-0.045938	0.152188	-17.568662	92070.05617
13.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	135.514311	0.0	2.542056	2.542056	90.0	0.175127	-0.057612	0.18436	-18.209916	92068.649321
14.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-67.79856	0.0	2.537581	2.537581	90.0	0.177305	-0.051201	0.18455	-16.107373	92067.187426
15.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-136.520592	0.0	2.538773	2.538773	90.0	0.182249	-0.055366	0.190474	-16.898475	92065.751762
16.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-173.072937	0.0	2.546586	2.546586	90.0	0.178269	-0.053435	0.186105	-16.685838	92064.287511
17.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	76.63601	0.0	2.544289	2.544289	90.0	0.17356	-0.054384	0.181881	-17.398103	92062.863032
18.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-30.843228	0.0	2.543172	2.543172	90.0	0.171726	-0.053137	0.179759	-17.193643	92061.407676
19.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-174.189254	0.0	2.53935	2.53935	90.0	0.170376	-0.055271	0.179117	-17.9734	92059.977242
20.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	66.109613	0.0	2.542865	2.542865	90.0	0.166482	-0.054292	0.175112	-18.061866	92058.541043
21.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	0.839539	0.0	2.538905	2.538905	90.0	0.163966	-0.054484	0.172781	-18.380908	92057.090829
22.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-22.801902	0.0	2.537605	2.537605	90.0	0.160624	-0.053313	0.169241	-18.361744	92055.672245
