# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-42.576874	0.0	-1.288662	1.288662	-90.0	0.939462	-0.794718	1.230515	-40.228854	88317.306061
2.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-167.50352	0.0	0.078609	0.078609	90.0	0.129249	-0.042312	0.135998	-18.12692	88315.872236
3.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-140.535037	0.0	-0.179734	0.179734	-90.0	0.15937	-0.188378	0.246749	-49.768307	88314.448591
4.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	96.99081	0.0	-0.611538	0.611538	-90.0	0.377275	0.369453	0.528046	44.399874	88312.998792
5.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	57.175706	0.0	-0.835944	0.835944	-90.0	0.594541	0.173508	0.619342	16.269116	88311.564081
6.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-142.312452	0.0	-0.492796	0.492796	-90.0	0.329004	-0.129168	0.353451	-21.435155	88310.108447
7.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	153.74295	0.0	-0.54339	0.54339	-90.0	0.365408	0.011267	0.365581	1.766139	88308.670872
8.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-106.80827	0.0	-0.645201	0.645201	-90.0	0.430947	-0.088568	0.439954	-11.613632	88307.239952
9.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-167.397026	0.0	-0.631329	0.631329	-90.0	0.420822	-0.053007	0.424147	-7.179206	88305.779363
10.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-83.325524	0.0	-0.660657	0.660657	-90.0	0.439018	-0.06318	0.443541	-8.189302	88304.340586
11.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	106.548789	0.0	-0.674684	0.674684	-90.0	0.450322	-0.029337	0.451277	-3.727303	88302.912221
12.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-164.459054	0.0	-0.664137	0.664137	-90.0	0.438831	-0.039972	0.440647	-5.204542	88301.458113
13.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-159.551928	0.0	-0.675374	0.675374	-90.0	0.444095	-0.048861	0.446775	-6.278589	88300.021282
14.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-133.824226	0.0	-0.668985	0.668985	-90.0	0.437046	-0.048423	0.439721	-6.322409	88298.554413
15.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	67.829463	0.0	-0.669704	0.669704	-90.0	0.435153	-0.04999	0.438015	-6.553336	88297.108773
16.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	111.507175	0.0	-0.669402	0.669402	-90.0	0.432939	-0.05131	0.435969	-6.758945	88295.679196
17.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-154.130207	0.0	-0.668835	0.668835	-90.0	0.43113	-0.053283	0.434411	-7.045356	88294.223007
18.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-72.221971	0.0	-0.669288	0.669288	-90.0	0.428619	-0.054125	0.432023	-7.197133	88292.796879
19.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-32.955648	0.0	-0.669139	0.669139	-90.0	0.425875	-0.055386	0.429462	-7.409889	88291.355847
20.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	131.915425	0.0	-0.669209	0.669209	-90.0	0.424063	-0.056656	0.427831	-7.609791	88289.918009
21.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	126.422584	0.0	-0.669467	0.669467	-90.0	0.422158	-0.057274	0.426025	-7.726084	88288.458086
22.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	41.750059	0.0	-0.669318	0.669318	-90.0	0.420604	-0.058542	0.424658	-7.923888	88286.999575
23.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	142.462236	0.0	-0.667581	0.667581	-90.0	0.418126	-0.060487	0.422479	-8.231443	88285.549183
