# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-47.965435	0.0	1.76392	1.76392	90.0	-1.124657	1.263157	1.691277	131.680382	92704.291137
2.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-156.31637	0.0	2.20573	2.20573	90.0	1.736782	0.723541	1.881469	22.616531	92702.853523
3.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-147.55628	0.0	2.14424	2.14424	90.0	1.303916	0.753197	1.505823	30.012554	92701.437517
4.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	56.001486	0.0	1.84441	1.84441	90.0	-0.395168	-0.845314	0.93312	-115.055186	92700.01326
5.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	39.190074	0.0	1.84971	1.84971	90.0	-0.375325	-0.455872	0.590498	-129.465023	92698.56819
6.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	148.162801	0.0	2.017699	2.017699	90.0	0.558741	-0.280144	0.625038	-26.628524	92697.156833
7.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-139.427747	0.0	1.994087	1.994087	90.0	0.447199	0.188175	0.485177	22.820698	92695.668042
8.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-56.430581	0.0	1.931813	1.931813	90.0	0.092015	0.160934	0.185382	60.240771	92694.226254
9.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-134.090981	0.0	1.96264	1.96264	90.0	0.262192	0.084063	0.275338	17.776615	92692.765969
10.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	152.882393	0.0	1.958276	1.958276	90.0	0.246122	-0.002729	0.246137	-0.635277	92691.353734
11.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	18.296244	0.0	1.940327	1.940327	90.0	0.123722	-0.019007	0.125173	-8.734089	92689.918369
12.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	47.556997	0.0	1.94458	1.94458	90.0	0.145564	-0.033631	0.149398	-13.009181	92688.471197
13.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-129.955821	0.0	1.947745	1.947745	90.0	0.166317	-0.011347	0.166703	-3.902811	92687.021359
14.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	16.155608	0.0	1.948088	1.948088	90.0	0.164871	-0.021145	0.166221	-7.30831	92685.58017
15.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-131.880017	0.0	1.947231	1.947231	90.0	0.159706	-0.022093	0.161227	-7.876032	92684.155796
16.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	37.469761	0.0	1.947395	1.947395	90.0	0.158404	-0.021778	0.159894	-7.828308	92682.718544
17.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	158.154943	0.0	1.947071	1.947071	90.0	0.155461	-0.022631	0.1571	-8.282564	92681.260762
18.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	102.222354	0.0	1.947291	1.947291	90.0	0.15504	-0.022989	0.156735	-8.434085	92679.820584
19.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-46.151639	0.0	1.947112	1.947112	90.0	0.153695	-0.02328	0.155448	-8.612883	92678.390025
20.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-29.58018	0.0	1.946992	1.946992	90.0	0.153255	-0.024245	0.155161	-8.989715	92676.966813
21.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	171.568369	0.0	1.947429	1.947429	90.0	0.152125	-0.024971	0.154161	-9.321722	92675.525261
22.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	56.768714	0.0	1.947333	1.947333	90.0	0.151459	-0.025035	0.153514	-9.385798	92674.058456
23.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	151.921926	0.0	1.94731	1.94731	90.0	0.150879	-0.024802	0.152903	-9.334977	92672.615404
24.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-84.85297	0.0	1.947572	1.947572	90.0	0.149014	-0.025408	0.151165	-9.67611	92671.155154
25.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-120.620911	0.0	1.947383	1.947383	90.0	0.148485	-0.024786	0.150539	-9.476737	92669.683655
26.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-53.318695	0.0	1.947526	1.947526	90.0	0.147197	-0.025923	0.149462	-9.987909	92668.264389
27.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	134.465316	0.0	1.947095	1.947095	90.0	0.146842	-0.025413	0.149025	-9.818546	92666.795639
28.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-145.901642	0.0	1.947353	1.947353	90.0	0.145739	-0.025572	0.147965	-9.952153	92665.377905
29.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	94.950751	0.0	1.947466	1.947466	90.0	0.144838	-0.025681	0.147097	-10.054633	92663.932734
30.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	116.98708	0.0	1.947166	1.947166	90.0	0.144084	-0.025718	0.146361	-10.120315	92662.512901
31.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-31.178819	0.0	1.947338	1.947338	90.0	0.143359	-0.025828	0.145667	-10.212913	92661.079861
32.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-8.362204	0.0	1.947461	1.947461	90.0	0.142564	-0.025863	0.144891	-10.282188	92659.628853
33.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	27.084764	0.0	1.947181	1.947181	90.0	0.141926	-0.025945	0.144278	-10.359568	92658.192466
