# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-20.200587	0.0	-0.993517	0.993517	-90.0	0.894103	-0.324393	0.951131	-19.941454	1227309.019203
2.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-144.209258	0.0	-0.454542	0.454542	-90.0	-0.259419	-0.264252	0.370307	-134.471292	1227307.609921
3.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-119.165321	0.0	-0.578042	0.578042	-90.0	-0.062007	-0.372037	0.377169	-99.462511	1227306.168333
4.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	94.591039	0.0	-0.67153	0.67153	-90.0	0.136146	0.36346	0.388122	69.464811	1227304.726424
5.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	85.430663	0.0	-0.697875	0.697875	-90.0	0.202864	0.200224	0.285032	44.624873	1227303.305096
6.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-1.509221	0.0	-0.789039	0.789039	-90.0	0.378771	-0.021121	0.37936	-3.191626	1227301.799104
7.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-128.361365	0.0	-0.656617	0.656617	-90.0	0.110404	-0.097372	0.147208	-41.410962	1227300.358263
8.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-69.357188	0.0	-0.69821	0.69821	-90.0	0.210233	-0.056003	0.217564	-14.916314	1227298.931026
9.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-162.888103	0.0	-0.664717	0.664717	-90.0	0.127901	-0.030809	0.131559	-13.543397	1227297.496733
10.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-135.448424	0.0	-0.679043	0.679043	-90.0	0.157051	-0.025945	0.159179	-9.38057	1227296.06738
11.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	97.05647	0.0	-0.684904	0.684904	-90.0	0.169874	-2e-06	0.169874	-0.000687	1227294.619464
12.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	20.599726	0.0	-0.692581	0.692581	-90.0	0.183505	-0.010384	0.183799	-3.238875	1227293.206165
13.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-112.474481	0.0	-0.688884	0.688884	-90.0	0.177919	-0.022138	0.179291	-7.092712	1227291.746068
14.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	143.029297	0.0	-0.684285	0.684285	-90.0	0.168021	-0.015347	0.168721	-5.218899	1227290.302693
15.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	144.091677	0.0	-0.68416	0.68416	-90.0	0.167964	-0.016448	0.168767	-5.592907	1227288.881474
16.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	15.246336	0.0	-0.684399	0.684399	-90.0	0.167775	-0.017895	0.168726	-6.088351	1227287.465719
17.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	78.417	0.0	-0.683779	0.683779	-90.0	0.167276	-0.018585	0.168305	-6.339631	1227286.009197
18.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-73.975899	0.0	-0.683931	0.683931	-90.0	0.166925	-0.019632	0.168076	-6.707852	1227284.535412
19.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	173.650047	0.0	-0.683628	0.683628	-90.0	0.165963	-0.021135	0.167303	-7.257538	1227283.113677
20.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	10.514221	0.0	-0.683634	0.683634	-90.0	0.165516	-0.02172	0.166935	-7.476055	1227281.647353
21.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	27.132778	0.0	-0.684918	0.684918	-90.0	0.165543	-0.021591	0.166945	-7.430904	1227280.193485
22.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-16.46645	0.0	-0.684801	0.684801	-90.0	0.164877	-0.022551	0.166412	-7.788243	1227278.759302
23.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-42.641981	0.0	-0.683643	0.683643	-90.0	0.164145	-0.023751	0.165854	-8.233323	1227277.299633
24.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-148.240661	0.0	-0.683987	0.683987	-90.0	0.164039	-0.024882	0.165916	-8.625196	1227275.854319
25.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	80.808053	0.0	-0.684856	0.684856	-90.0	0.162449	-0.025726	0.164473	-8.999011	1227274.418846
26.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-166.730858	0.0	-0.683017	0.683017	-90.0	0.162564	-0.02682	0.164762	-9.368185	1227272.966954
27.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-117.346079	0.0	-0.6841	0.6841	-90.0	0.161372	-0.027317	0.163668	-9.607799	1227271.507533
28.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	157.012215	0.0	-0.683874	0.683874	-90.0	0.160932	-0.028035	0.163356	-9.881848	1227270.097177
29.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-54.056206	0.0	-0.683457	0.683457	-90.0	0.160514	-0.028845	0.163085	-10.18755	1227268.641553
30.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-67.542357	0.0	-0.683204	0.683204	-90.0	0.159662	-0.029908	0.162439	-10.609749	1227267.152979
31.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-84.221395	0.0	-0.683621	0.683621	-90.0	0.159028	-0.030245	0.161878	-10.768197	1227265.711747
32.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-98.610336	0.0	-0.683855	0.683855	-90.0	0.15928	-0.030485	0.162172	-10.8351	1227264.270215
33.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-85.55435	0.0	-0.68432	0.68432	-90.0	0.159181	-0.030533	0.162083	-10.858086	1227262.806471
34.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-126.812481	0.0	-0.683722	0.683722	-90.0	0.157529	-0.032025	0.160752	-11.491516	1227261.348796
35.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	112.635209	0.0	-0.683443	0.683443	-90.0	0.15721	-0.032346	0.160503	-11.626207	1227259.944746
36.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	18.582003	0.0	-0.683557	0.683557	-90.0	0.156936	-0.032958	0.16036	-11.860253	1227258.474108
37.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	88.88377	0.0	-0.682874	0.682874	-90.0	0.154954	-0.034277	0.1587	-12.473403	1227256.997922
38.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	177.528905	0.0	-0.683777	0.683777	-90.0	0.156794	-0.033535	0.16034	-12.072571	1227255.572285
