# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
1.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	21.145801	0.0	-0.305802	0.305802	-90.0	0.279599	0.093566	0.294839	18.502563	1225076.256452
2.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-94.593118	0.0	0.021187	0.021187	90.0	0.084718	0.021487	0.087401	14.231895	1225074.824044
3.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-45.261122	0.0	-0.161792	0.161792	-90.0	0.156379	-0.042104	0.161948	-15.069247	1225073.36498
4.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-149.714781	0.0	0.165328	0.165328	90.0	0.191909	0.002661	0.191928	0.794379	1225071.903722
5.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-160.278718	0.0	0.121116	0.121116	90.0	0.178396	-0.006997	0.178533	-2.246228	1225070.435995
6.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-41.007459	0.0	-0.067421	0.067421	-90.0	0.16977	-0.006517	0.169895	-2.198249	1225069.012006
7.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-74.76696	0.0	-0.010093	0.010093	-90.0	0.171759	-0.006375	0.171877	-2.125731	1225067.568104
8.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	41.758693	0.0	-0.015696	0.015696	-90.0	0.171272	-0.008181	0.171468	-2.734673	1225066.14778
9.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	16.410471	0.0	-0.017005	0.017005	-90.0	0.171031	-0.009302	0.171284	-3.113091	1225064.666738
10.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	31.031868	0.0	-0.008899	0.008899	-90.0	0.170709	-0.010176	0.171012	-3.411241	1225063.233677
11.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-136.881083	0.0	0.006463	0.006463	90.0	0.170521	-0.011142	0.170885	-3.738594	1225061.792677
12.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	166.46714	0.0	0.005596	0.005596	90.0	0.17018	-0.012149	0.170613	-4.083299	1225060.356173
13.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	41.211759	0.0	0.004529	0.004529	90.0	0.170137	-0.012924	0.170627	-4.344113	1225058.909662
14.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	135.561443	0.0	0.001667	0.001667	90.0	0.169742	-0.013948	0.170314	-4.69753	1225057.454479
15.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-92.559156	0.0	0.00103	0.00103	90.0	0.169068	-0.015177	0.169748	-5.129593	1225056.003441
16.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	31.195724	0.0	0.001355	0.001355	90.0	0.169152	-0.015859	0.169893	-5.356204	1225054.538159
17.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	21.105408	0.0	0.002003	0.002003	90.0	0.168626	-0.01705	0.169486	-5.773604	1225053.101112
18.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	28.0727	0.0	0.001663	0.001663	90.0	0.168552	-0.017323	0.169439	-5.867845	1225051.662787
19.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-164.107981	0.0	0.001818	0.001818	90.0	0.168598	-0.01743	0.169496	-5.902311	1225050.215765
20.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-15.268912	0.0	0.001318	0.001318	90.0	0.169571	-0.016381	0.170361	-5.517689	1225048.772986
21.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	162.34369	0.0	0.001484	0.001484	90.0	0.16938	-0.017138	0.170245	-5.777482	1225047.325706
22.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	155.668937	0.0	0.001713	0.001713	90.0	0.168602	-0.018307	0.169593	-6.196921	1225045.873031
23.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-15.697163	0.0	0.001715	0.001715	90.0	0.168127	-0.018719	0.169166	-6.353068	1225044.43072
24.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	38.520161	0.0	0.001769	0.001769	90.0	0.168298	-0.019175	0.169387	-6.499962	1225043.003429
25.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	20.124876	0.0	0.001694	0.001694	90.0	0.167739	-0.021117	0.169064	-7.17545	1225041.5266
26.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	130.059102	0.0	0.001889	0.001889	90.0	0.166722	-0.020774	0.168011	-7.102761	1225040.051742
27.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	93.05623	0.0	0.001706	0.001706	90.0	0.166825	-0.022008	0.16827	-7.515342	1225038.612924
28.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	138.460423	0.0	0.002408	0.002408	90.0	0.166578	-0.022766	0.168126	-7.782303	1225037.171354
29.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-31.399296	0.0	0.002439	0.002439	90.0	0.165949	-0.023254	0.16757	-7.976625	1225035.715232
30.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-77.686749	0.0	0.002405	0.002405	90.0	0.165605	-0.023868	0.167316	-8.201241	1225034.29297
31.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	129.43389	0.0	0.002513	0.002513	90.0	0.164892	-0.024763	0.166742	-8.540815	1225032.862928
32.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-116.91609	0.0	0.00271	0.00271	90.0	0.164339	-0.025663	0.16633	-8.875591	1225031.43744
33.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-77.788207	0.0	0.0027	0.0027	90.0	0.164306	-0.025694	0.166303	-8.888005	1225029.993491
34.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-124.604847	0.0	0.002341	0.002341	90.0	0.163328	-0.026808	0.165513	-9.321265	1225028.595401
35.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-172.391924	0.0	0.002729	0.002729	90.0	0.161349	-0.028973	0.16393	-10.17988	1225027.168452
36.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	132.774793	0.0	0.002744	0.002744	90.0	0.161229	-0.029274	0.163865	-10.290855	1225025.721458
37.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	119.40463	0.0	0.002921	0.002921	90.0	0.15977	-0.030508	0.162656	-10.810355	1225024.266755
38.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	72.139848	0.0	0.002885	0.002885	90.0	0.16034	-0.030081	0.163137	-10.625669	1225022.828744
39.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-140.594113	0.0	0.002673	0.002673	90.0	0.159816	-0.030136	0.162633	-10.678777	1225021.394811
40.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	162.675234	0.0	0.002863	0.002863	90.0	0.157899	-0.032076	0.161124	-11.482961	1225019.928995
41.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-114.926799	0.0	0.002236	0.002236	90.0	0.16015	-0.031683	0.163254	-11.190406	1225018.47218
42.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	171.532137	0.0	0.002069	0.002069	90.0	0.162073	-0.027856	0.16445	-9.752444	1225017.008053
43.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-4.814791	0.0	0.002511	0.002511	90.0	0.164314	-0.033828	0.16776	-11.633151	1225015.568005
44.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	15.652055	0.0	0.002459	0.002459	90.0	0.16518	-0.028271	0.167582	-9.712079	1225014.135945
45.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	151.701311	0.0	0.004048	0.004048	90.0	0.15309	-0.04301	0.159017	-15.692658	1225012.688593
46.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-131.550677	0.0	0.004337	0.004337	90.0	0.151318	-0.046633	0.158341	-17.128236	1225011.242351
47.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-25.061986	0.0	0.001702	0.001702	90.0	0.156205	-0.016122	0.157035	-5.892824	1225009.826425
48.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	144.927742	0.0	0.001295	0.001295	90.0	0.174084	-0.023179	0.175621	-7.584119	1225008.372018
49.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-38.772543	0.0	0.003898	0.003898	90.0	0.128849	-0.024212	0.131104	-10.642482	1225006.893951
50.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	26.709181	0.0	0.000851	0.000851	90.0	0.154659	-0.008454	0.154889	-3.128788	1225005.441866
51.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	122.672569	0.0	0.004227	0.004227	90.0	0.125721	-0.036235	0.130838	-16.078118	1225004.013233
52.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	43.091224	0.0	0.001403	0.001403	90.0	0.152066	-0.013639	0.152676	-5.125273	1225002.564716
53.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	81.398815	0.0	0.002941	0.002941	90.0	0.142807	-0.024	0.14481	-9.539739	1225001.112663
54.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-129.971681	0.0	0.00266	0.00266	90.0	0.153706	-0.023326	0.155466	-8.629089	1224999.60967
55.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-54.245992	0.0	0.003134	0.003134	90.0	0.152221	-0.027529	0.15469	-10.250968	1224998.158502
56.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	100.364856	0.0	0.004326	0.004326	90.0	0.155692	-0.042085	0.16128	-15.126217	1224996.717764
57.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-17.614996	0.0	0.004575	0.004575	90.0	0.152727	-0.039996	0.157877	-14.674983	1224995.273028
58.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-96.716453	0.0	0.003877	0.003877	90.0	0.155792	-0.036711	0.160059	-13.259266	1224993.82078
59.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-128.173906	0.0	0.004492	0.004492	90.0	0.154259	-0.038212	0.158921	-13.912881	1224992.355443
60.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	4.484173	0.0	0.004262	0.004262	90.0	0.147506	-0.040076	0.152853	-15.199963	1224990.909262
61.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	48.650844	0.0	0.004436	0.004436	90.0	0.146668	-0.041307	0.152373	-15.729104	1224989.460364
62.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	36.984591	0.0	0.003719	0.003719	90.0	0.149452	-0.040286	0.154786	-15.085995	1224988.010465
63.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-14.371973	0.0	0.004452	0.004452	90.0	0.151382	-0.03895	0.156313	-14.429153	1224986.578804
64.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	164.591759	0.0	0.003959	0.003959	90.0	0.151304	-0.039178	0.156294	-14.517247	1224985.120065
65.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-163.777771	0.0	0.004548	0.004548	90.0	0.149492	-0.04018	0.154798	-15.044224	1224983.703583
66.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	109.476965	0.0	0.003114	0.003114	90.0	0.148451	-0.040596	0.153901	-15.294534	1224982.267965
67.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-123.188957	0.0	0.004209	0.004209	90.0	0.145472	-0.042115	0.151446	-16.146092	1224980.836905
68.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	97.517339	0.0	0.005499	0.005499	90.0	0.144315	-0.042699	0.150499	-16.481948	1224979.399907
69.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	13.130969	0.0	0.006142	0.006142	90.0	0.144213	-0.042844	0.150442	-16.545973	1224977.941145
70.0	1.0	0.0	0.0	0.0	-90.0	0.0	0.0	0.0	-112.036408	0.0	0.005762	0.005762	90.0	0.141461	-0.043811	0.14809	-17.208073	1224976.468612
